Left context;Center;Right context;Created;Sphere;Type;Full context;Left_context_POS;Right_context_POS
свое обстание, друзей, врагов так,; как ;они выглядели молодому человеку с неустановившимися ;1914;художественная;рассказ;"своим именем, любой поступок оценен и учтен на весах современности; то, что я показываю, нам и не близко, и не современно; но ― характеристично, симптоматично для первых годов начала века; я беру себя, свое обстание, друзей, врагов так, как они выглядели молодому человеку с неустановившимися критериями, выбивавшемуся вместе с друзьями из топившей нас рутины.   [А. А. Богданов. Клад Ивановской ночи (1914)] [омонимия не снята]";CONJ;NPRO
Но и это ожидание обиды,; как ;и удивление тому, что никакой обиды ;1929;художественная;мемуары;Но и это ожидание обиды, как и удивление тому, что никакой обиды не чувствую, ― все это уже не переживания, а как бы теоретические выводы о том, как мои чувства должны были бы на такие события отвечать. [Андрей Белый. На рубеже двух столетий (1929)] [омонимия не снята];NOUN;CONJ
Ныне Аскольд известен; как ;естественный питомник пятнистых оленей.  ;1949;художественная;сказ;Ныне Аскольд известен как естественный питомник пятнистых оленей.   [П. П. Бажов. Золотоцветень горы (1949)] [омонимия не снята];ADJS;ADJF
ножкой, зубенками блеснула, платочком махнула,; как ;свистнула:   ;1909;художественная;роман;У большой сосны остановилась, топнула ножкой, зубенками блеснула, платочком махнула, как свистнула:    [Б. В. Савинков (В. Ропшин). Конь бледный (1909)] [омонимия не снята];VERB;VERB
от людей в полном восторге,; как ;я рад.;1926;художественная;роман;Мама была от всего, от людей в полном восторге, как я рад. [Андрей Белый. Москва. Часть 2. Москва под ударом (1926)] [омонимия не снята];NOUN;NPRO
оравших котов ― перед кошкой: весною:; Как ;кошка, он щурился:   ;1939;художественная;сказ;оравших котов ― перед кошкой: весною: Как кошка, он щурился:    [П. П. Бажов. Тяжелая витушка (1939)] [омонимия не снята];ADVB;NOUN
и в это мгновение увидел,; как ;что-то гибкое и пестрое мелькнуло в ;1917;художественная;повесть;Я обернулся и в это мгновение увидел, как что-то гибкое и пестрое мелькнуло в воздухе. [А. Т. Аверченко. Подходцев и двое других (1917)] [омонимия не снята];VERB;NPRO
Из Одессы?; Как ;там живут?   ;1928;художественная;роман;Из Одессы? Как там живут?    [Константин Большаков. Бегство пленных, или История страданий и гибели поручика Тенгинского пехотного полка Михаила Лермонтова (1928)] [омонимия не снята];NOUN;ADVB
"всего двух- трех пунктов; и,"; как ;мне кажется, ― все же подслушал я ;1923-1924;художественная;роман;"Цель этой книги дать несколько картинок из жизни и быта огромного африканского континента, которого жизнь я подслушивал из всего двух- трех пунктов; и, как мне кажется, ― все же подслушал я кое-что. [Б. В. Савинков (В. Ропшин). Конь вороной (1923-1924)] [омонимия не снята]";CONJ;NPRO
Не прошло и двух минут,; как ;вдруг в его стороне грянул выстрел.;1917;художественная;повесть;Не прошло и двух минут, как вдруг в его стороне грянул выстрел. [А. Т. Аверченко. Подходцев и двое других (1917)] [омонимия не снята];NOUN;ADVB
Мужик в годах.; Как ;говорится, детинка с сединкой.;1909;нехудожественная;мемуары;Мужик в годах. Как говорится, детинка с сединкой. [Б. В. Савинков (В. Ропшин). Воспоминания террориста (1909)] [омонимия не снята];NOUN;VERB
радуются ― и люди и мы?; Как ;это ― Новый год? ;1901;нехудожественная;статья;радуются ― и люди и мы? Как это ― Новый год?  [И. В. Бабушкин. Корреспонденции, напечатанные в газете «Искра» (1901)] [омонимия не снята];NPRO;PRCL
Я уже чувствую,; как ;радость моя своей нежной головкой вползает ;1929;художественная;мемуары;Я уже чувствую, как радость моя своей нежной головкой вползает в мое горло, щекочет его. [Андрей Белый. На рубеже двух столетий (1929)] [омонимия не снята];VERB;NOUN
тех пор в воздухе показалась; как ;бы дымка, а жгучее беспокойство ребенка ;1948;художественная;сказ;С тех пор в воздухе показалась как бы дымка, а жгучее беспокойство ребенка усилилось.   [П. П. Бажов. Дорогой земли виток (1948)] [омонимия не снята];VERB;PRCL
Обрадовался сперва, потом образумился маленько:; как ;быть? ;1933;нехудожественная;статья;Обрадовался сперва, потом образумился маленько: как быть?  [Н. В. Устрялов. Германский национал-социализм (1933)] [омонимия не снята];ADVB;INFN
"его; он не мог понять,"; как ;глупый, жестокий и слепой народ в ;1908;художественная;рассказ;"Слезы и гнев душили его; он не мог понять, как глупый, жестокий и слепой народ в страхе и раскаянии не пал на землю, вопия в смятении:    [А. А. Богданов. Провокация (1908)] [омонимия не снята]";INFN;ADJF
может подойти к голому факту,; как ;бы он ужасен ни был, что ;1919;нехудожественная;отчет;Я презираю его за то, что он не может подойти к голому факту, как бы он ужасен ни был, что ему нужен орнамент, форма, украшения. [М. К. Бахирев. Отчет о действиях Морских сил Рижского залива (1919)] [омонимия не снята];NOUN;PRCL
Гапка в кухне слышит музыку ―; как ;будто из местечка пришел слепой скрипач, ;1943-1946;нехудожественная;дневник, записные книжки;Он спит, а Гапка в кухне слышит музыку ― как будто из местечка пришел слепой скрипач, стоит под окном и играет.   [Л. К. Бронтман. Дневники и письма (1943-1946)] [омонимия не снята];NOUN;CONJ
Тому, может, лестно показалось,; как ;его расписывали, он и поддакнул: « Было ;1923-1958;художественная;рассказ, сказка;Тому, может, лестно показалось, как его расписывали, он и поддакнул: « Было дело, скупал старинное оружие и на те базары ездил, где его больше достать можно». [В. В. Бианки. Лесные были и небылицы (1923-1958)] [омонимия не снята];VERB;NPRO
С больными доктор Базелевич обращается,; как ;настоящий живодёр.;1942;художественная;сказ;С больными доктор Базелевич обращается, как настоящий живодёр. [П. П. Бажов. Жабреев ходок (1942)] [омонимия не снята];VERB;ADJF
относительности» в области критических оценок!; Как ;относительны наши суждения и оценки! ;1922;нехудожественная;дневник, записные книжки;относительности» в области критических оценок! Как относительны наши суждения и оценки!  [Андрей Белый. Африканский дневник (1922)] [омонимия не снята];NOUN;ADJS
Жабреиха, видишь,; как ;раз мужу подстать.;1909;нехудожественная;мемуары;Жабреиха, видишь, как раз мужу подстать. [Б. В. Савинков (В. Ропшин). Воспоминания террориста (1909)] [омонимия не снята];VERB;NOUN
Тут он задумался, вспомнив,; как ;кровь в нем кипела, когда он ;1913;художественная;рассказ;"Тут он задумался, вспомнив, как кровь в нем кипела, когда он был юным, когда напряженье рассудочной жизни его подвергалось атакам бессмысленной и глупотелой истомы; тогда со стыдом убеждался и он, что с большим интересом выглядывает из-за функций Лагранжа на голую ногу; упрятывал глазки за функции он со стыдом; голоногая Фекла, прислуга, жила с богатырского вида мужчиной, устраивавшим кулачевки; Иван же Иваныч отстаивал женский [А. А. Богданов. Акриды (1913)] [омонимия не снята]";GRND;NOUN
Тятеньку, дескать, покойного,; как ;он вовсе из сил выбился, сам ;1945;художественная;сказ;Тятеньку, дескать, покойного, как он вовсе из сил выбился, сам барин на волю отпустил. [П. П. Бажов. Алмазная спичка (1945)] [омонимия не снята];ADJF;NPRO
больше всего то, что арестованный,; как ;он слишком хорошо знал, был только ;1934;художественная;мемуары;Волновало его больше всего то, что арестованный, как он слишком хорошо знал, был только писатель, и вся его практическая деятельность сводилась исключительно к тому, что он последовательно отстаивал свои убеждения и верования в литературе. [Андрей Белый. Между двух революций (1934)] [омонимия не снята];NOUN;NPRO
познакомить через рабочую газету « Искра»; как ;своих рабочих, так и рабочих других ;1942;художественная;сказ;Для нас, орехово-зуевских рабочих, небезинтересно познакомить через рабочую газету « Искра» как своих рабочих, так и рабочих других городов и других профессий с нашими иногда чудовищными порядками. [П. П. Бажов. Жабреев ходок (1942)] [омонимия не снята];NOUN;ADJF
глянешь ― открытые чернеющие кричащие рты,; как ;лес, мотаются поднятые кулаки, и во ;1905;художественная;рассказ;И куда ни глянешь ― открытые чернеющие кричащие рты, как лес, мотаются поднятые кулаки, и во все стороны ― только картузы, кепки, да платочки, да, как белая бумага, под ними истомленные бабьи лица, и, как разгорающееся зарево, тронул их горячечный румянец гнева, отчаяния, непотухающей злобы.   [М. П. Арцыбашев. Ужас (1905)] [омонимия не снята];NOUN;NOUN
Вот уже два года,; как ;высланный из большого города, он застрял ;1936-1941;художественная;роман;Вот уже два года, как, высланный из большого города, он застрял в этом городишке, без всякой надежды когда-нибудь выбраться, и потому ненавидел его всеми силами души, до тоски, до боли. [Б. А. Садовской. Пшеница и плевелы (1936-1941) // «Новый Мир», 1993] [омонимия не снята];NOUN;PRTF
фука» ― булыжники, домики и тротуары; как ;пырснут, распавшись на атомы пыли, секущие ;1913;художественная;рассказ;"дери, с этим самым окном, что напротив: окно ― отворилось; и Грибиков, точно стенная кукушка, проснулся, фукая на переулок; от « фука» ― булыжники, домики и тротуары как пырснут, распавшись на атомы пыли, секущие эти пространства; Иван же Иваныч, сам пыль, привскочил, оказавшись опять у себя на диване пред мухою ― в пункте, откуда он был громко свергнут.   [А. А. Богданов. Акриды (1913)] [омонимия не снята]";NOUN;NOUN
И скука,; как ;знакомый, милый образ, танцевала на семи ;1904-1908;нехудожественная;статья;И скука, как знакомый, милый образ, танцевала на семи холмах.   [Андрей Белый. Бальмонт (1904-1908)] [омонимия не снята];NOUN;ADJF
Точь-в-точь; как ;Егоров.;1934;художественная;роман;Точь-в-точь как Егоров. [М. Агеев. Роман с кокаином (1934)] [омонимия не снята];ADVB;NOUN
своей ценности лишний раз напоминают,; как ;отрывочны наши сведения об этой культуре.  ;1908;нехудожественная;статья;Исследования по отдельным вопросам материальной культуры Московской Руси при всей своей ценности лишний раз напоминают, как отрывочны наши сведения об этой культуре.   [Андрей Белый. Брюсов (1908)] [омонимия не снята];VERB;ADJS
Думать боялся,; как ;это он еще на тот рудник ;1910-1911;художественная;рассказ;Думать боялся, как это он еще на тот рудник пойдет. [А. Т. Аверченко. Мозаика (1910-1911)] [омонимия не снята];VERB;PRCL
