Left context,Center,Right context,Created,Sphere,Type,Full context,Left_context_POS,Right_context_POS
"искать, все мы будем искать?", Как ,прольешь кровь? ,1902-1903,нехудожественная,фельетон,"искать, все мы будем искать? Как прольешь кровь?  [А. С. Серафимович. Заметки обо всем (1902-1903)] [омонимия не снята]",INFN,VERB
"ко, штучки, что диву дашься:", как ,ему помогло.  ,1937,художественная,сказ,"Такие, слышь- ко, штучки, что диву дашься: как ему помогло.   [П. П. Бажов. Марков камень (1937)] [омонимия не снята]",VERB,NPRO
тех пор в воздухе показалась, как ,"бы дымка, а жгучее беспокойство ребенка ",1948,художественная,сказ,"С тех пор в воздухе показалась как бы дымка, а жгучее беспокойство ребенка усилилось.   [П. П. Бажов. Дорогой земли виток (1948)] [омонимия не снята]",VERB,PRCL
"Ну,", как ,же! ,1923-1958,художественная,"рассказ, сказка","Ну, как же!  [В. В. Бианки. Лесные были и небылицы (1923-1958)] [омонимия не снята]",PRCL,PRCL
А, как ,"же, ― спрашивает Даренка, ― зимой- то в ",1931,нехудожественная,статья,"А как же, ― спрашивает Даренка, ― зимой- то в лесу ночевать станешь?    [А. Л. Бем. Еще о Гумилеве // «Руль», 1931] [омонимия не снята]",CONJ,PRCL
"общих чертах была такая же,", как ,и в 1906 году.,1949,художественная,сказ,"Организация экспедиции 1907 года в общих чертах была такая же, как и в 1906 году. [П. П. Бажов. Золотоцветень горы (1949)] [омонимия не снята]",PRCL,CONJ
Бабушка вон, как ,страшно рассказывает.,1939,художественная,рассказ,Бабушка вон как страшно рассказывает. [П. П. Бажов. Зеленая кобылка (1939)] [омонимия не снята],ADVB,ADVB
, Как ,кавалерист он больше всего возился с ,1910-1912,художественная,роман,"Как кавалерист он больше всего возился с лошадьми, устроил даже конский завод, который после его смерти весьма быстро растаял. [М. П. Арцыбашев. У последней черты (1910-1912)] [омонимия не снята]",,NOUN
"так раскричавшие на весь свет,", как ,"я полагал, о расовых особенностях киевлян, ",1913,художественная,рассказ,"Я извиняюсь перед киевлянами, что мог ранее думать так о них, но право же меня ввели в заблуждение господа союзники, так раскричавшие на весь свет, как я полагал, о расовых особенностях киевлян, сохранивших в недрах своих доисторическую привычку людоедства…   [А. А. Богданов. В борьбе за жизнь (1913)] [омонимия не снята]",NOUN,NPRO
"Одинокий прохожий услышал,", как ,умирали в окне старого замка.,1924,художественная,роман,"Одинокий прохожий услышал, как умирали в окне старого замка. [А. С. Серафимович. Железный поток (1924)] [омонимия не снята]",VERB,VERB
"и критицизма, мы становимся мудрыми,", как ,"змеи, и незлобивыми, как голуби.",1931,нехудожественная,статья,"Символизм без критицизма и критицизм без символизма охватывали бы мир однобоко: пройдя сквозь призмы символизма и критицизма, мы становимся мудрыми, как змеи, и незлобивыми, как голуби. [Н. В. Устрялов. Проблема прогресса (1931)] [омонимия не снята]",ADJF,NOUN
"Швецов посмеивался и работал,", как ,"смолоду, одиночкой.",1923-1958,художественная,"рассказ, сказка","Швецов посмеивался и работал, как смолоду, одиночкой. [В. В. Бианки. Лесные были и небылицы (1923-1958)] [омонимия не снята]",VERB,ADVB
"Толстая,", как ,"у негра, верхняя губа его скуластого ",1938,художественная,сказ,"Толстая, как у негра, верхняя губа его скуластого лица дрожала, ясные глаза потемнели. [П. П. Бажов. Каменный цветок (1938)] [омонимия не снята]",NOUN,PREP
"сортировала этих « дефективных», или « трудновоспитуемых»,", как ,"называли тогда испорченных улицей ребят, и ",1939,художественная,сказ,"Комиссия при губоно сортировала этих « дефективных», или « трудновоспитуемых», как называли тогда испорченных улицей ребят, и оттуда эта пестрая публика распределялась по новым домам.   [П. П. Бажов. Две ящерки (1939)] [омонимия не снята]",ADJF,VERB
"и иногда, казалось, начинали драться,", как ,дикие звери в клетке.  ,1907,художественная,повесть,"За стеной кричали, шумели, двигали стульями и иногда, казалось, начинали драться, как дикие звери в клетке.   [Андрей Белый. Кубок метелей (1907)] [омонимия не снята]",INFN,ADJF
"Летние палатки,", как ,и во время путешествия 1906― 1907 ,1917,художественная,повесть,"Летние палатки, как и во время путешествия 1906― 1907 годов, отсутствовали. [Андрей Белый. Северная симфония (1917)] [омонимия не снята]",NOUN,CONJ
"Ее вид,", как ,"небо, был далекий, но близкий.  ",1910-1911,художественная,рассказ,"Ее вид, как небо, был далекий, но близкий.   [А. Т. Аверченко. Смерть девушки у изгороди (1910-1911)] [омонимия не снята]",NOUN,NOUN
, Как ,прекрасно очерчена эта область в еще ,1947,нехудожественная,статья,Как прекрасно очерчена эта область в еще только наметившемся абрисе творчества Брюсова ― на страницах « Tertia vigilia». [А. В. Арциховский. Основные вопросы археологии Москвы (1947)] [омонимия не снята],,ADVB
Командир приказал ему (, как ,представителю фронта) уйти в тыл и ,1901,нехудожественная,мемуары,Командир приказал ему ( как представителю фронта) уйти в тыл и дал провожатого. [И. В. Бабушкин. Воспоминания (1901)] [омонимия не снята],NPRO,NOUN
"в десятки кнутов; ребятишки визжали,", как ,"резаные, секли хворостинами по ногам, по ",1913,художественная,рассказ,"А сзади подбегали от других повозок, нечеловечески улюлюкали, брали в десятки кнутов; ребятишки визжали, как резаные, секли хворостинами по ногам, по пузу, стараясь побольнее; бабы истошно кричали и изо всех сил дергали вожжами, раненые возили по бокам костылями.   [А. А. Богданов. Перед рассветом (1913)] [омонимия не снята]",VERB,ADJF
"пройти по пестрой полянке зимника,", как ,"где-то близко ― нам показалось, в лесу, ",1910,художественная,рассказ,"Не много успели пройти по пестрой полянке зимника, как где-то близко ― нам показалось, в лесу, слева, ― раздался выстрел. [А. Т. Аверченко. Автобиография (1910)] [омонимия не снята]",NOUN,ADVB
"Все помнят рассказ о том,", как ,голодный юноша- плотник отсосал у толстой ,1944-1947,нехудожественная,"дневник, записные книжки, письмо","Все помнят рассказ о том, как голодный юноша- плотник отсосал у толстой кормилицы молоко, тяготившее ее. [П. П. Бажов. Отслоения дней (1944-1947)] [омонимия не снята]",ADJF,ADJF
меня в Гороховом переулке вроде, как ,"бы мастерская, а только правое настоящих ",1904,нехудожественная,статья,"У меня в Гороховом переулке вроде как бы мастерская, а только правое настоящих я не охлопотал и работников не держу, а все больше сам. [Андрей Белый. Критицизм и символизм (1904)] [омонимия не снята]",PRCL,PRCL
"Азеф вскоре уехал по своим,", как ,"он говорил, общепартийным делам.",1921,нехудожественная,монография,"Азеф вскоре уехал по своим, как он говорил, общепартийным делам. [В. Д. Бонч-Бруевич. Знамение времени ― убийство Андрея Ющинского и дело Бейлиса (Впечатления Киевского процесса) (1921)] [омонимия не снята]",ADJF,NPRO
оравших котов ― перед кошкой: весною:, Как ,"кошка, он щурился:   ",1939,художественная,сказ,"оравших котов ― перед кошкой: весною: Как кошка, он щурился:    [П. П. Бажов. Тяжелая витушка (1939)] [омонимия не снята]",ADVB,NOUN
"частью смотрели на мое состояние,", как ,на последствие невоздержной жизни и желание ,1949,нехудожественная,статья,"Высказывая врачам откровенно свое положение, я вызывал в них лишь сомнение в здравости своего рассудка, выносил долговременные мушки без всякой надобности, причем врачи большей частью смотрели на мое состояние, как на последствие невоздержной жизни и желание притом отдохнуть в больнице, ввиду ограниченности моих ничтожных средств ( пенсион в 100 руб. в год).   [Н. Н. Воронин. К характеристике архитектурных памятников Коломны времени Дмитрия Донского (1949)] [омонимия не снята]",NOUN,PREP
"Кто,", как ,"говорится, баранью лытку, кто ― пирог с ",1937-1938-1973,нехудожественная,монография,"Кто, как говорится, баранью лытку, кто ― пирог с молитвой, а то и луковку побольше да погорчее. [М. М. Бахтин. Формы времени и хронотопа в романе (1937-1938-1973)] [омонимия не снята]",NPRO,VERB
"Но есть личины и нечудесные,", как ,"например, « Жар-Птица».  ",1905,художественная,повесть,"Но есть личины и нечудесные, как, например, « Жар-Птица».   [Андрей Белый. Возврат (1905)] [омонимия не снята]",ADJF,CONJ
"таким же старым и ветхим,", как ,мир.,1936-1941,художественная,роман,"Она бесшумно садилась на крыши и окна домов, ложилась на стоячие воды реки, покрывала весь город мягким безвольным налетом, и тогда он казался таким же старым и ветхим, как мир. [Б. А. Садовской. Пшеница и плевелы (1936-1941) // «Новый Мир», 1993] [омонимия не снята]",ADJF,NOUN
"не услышал, а видел только,", как ,раскрылась дверь и разъяренный заведующий стремительно ,1939,художественная,сказ,"Выстрела Косоров так и не услышал, а видел только, как раскрылась дверь и разъяренный заведующий стремительно протащил за шиворот бледного Воробья.   [П. П. Бажов. Две ящерки (1939)] [омонимия не снята]",PRCL,VERB
, Как ,"художник, любовно выполнивший задуманную работу, не ",1937,художественная,сказ,"Как художник, любовно выполнивший задуманную работу, не нарадуется он на создание рук своих: позванивает топориком, пробует, крепко ли в пазах, ковыряет ногтем конопатку, сухой олений мох….   [П. П. Бажов. Сочневы камешки (1937)] [омонимия не снята]",,NOUN
"Седой, ершистый, стриженный,", как ,"и все ксендзы, плотно поджавший нижнюю ",1913,художественная,рассказ,"Седой, ершистый, стриженный, как и все ксендзы, плотно поджавший нижнюю губу, он углубился в чтение какой-то книжки, а сам… сам тщательно и осторожно наблюдает залу, словно высматривая кого-то, словно намечая жертву своего воздействия… [А. А. Богданов. В борьбе за жизнь (1913)] [омонимия не снята]",PRTF,CONJ
"вопросов прошлого русской артиллерии мне,", как ,непосредственно принимавшему участие в разрешении многих ,1917,художественная,повесть,"При исследовании вопросов прошлого русской артиллерии мне, как непосредственно принимавшему участие в разрешении многих из них, нелегко быть в полной мере беспристрастным. [В. К. Арсеньев. По Уссурийскому краю (1917)] [омонимия не снята]",NPRO,ADVB
Из Одессы?, Как ,там живут?   ,1928,художественная,роман,"Из Одессы? Как там живут?    [Константин Большаков. Бегство пленных, или История страданий и гибели поручика Тенгинского пехотного полка Михаила Лермонтова (1928)] [омонимия не снята]",NOUN,ADVB
То есть, как ,чужому?..,1920-1924,нехудожественная,монография,То есть как чужому?.. [М. М. Бахтин. Автор и герой в эстетической деятельности (1920-1924)] [омонимия не снята],INTJ,NOUN
"было пусто и веяло холодом,", как ,из погреба.,1907,художественная,повесть,"Там было пусто и веяло холодом, как из погреба. [Андрей Белый. Кубок метелей (1907)] [омонимия не снята]",NOUN,PREP
"не увидим, а охота поглядеть,", как ,кончится.,1943,художественная,сказ,"Ой, баба, не увидим, а охота поглядеть, как кончится. [П. П. Бажов. Веселухин Ложок (1943)] [омонимия не снята]",INFN,VERB
"наши дни, котировались подчас", как ,подвиг в мое время; и потому- ,1914,художественная,рассказ,"наши дни, котировались подчас как подвиг в мое время; и потому- то нельзя переводить воспоминаний о далеком прошлом по прямому проводу на язык нашего времени; именно в языке, в экспозиции, в характеристике роя лиц, мелькающих со страниц этой книги, может произойти стык с современностью; я на него иду; и ― сознательно: моя задача не в том, чтоб написать книгу итогов, где каждое явление названо [А. А. Богданов. Клад Ивановской ночи (1914)] [омонимия не снята]",ADVB,NOUN
Административные таланты?, Как ,можете вы в них сомневаться? ,1903,художественная,рассказ,Административные таланты? Как можете вы в них сомневаться?  [М. П. Арцыбашев. Братья аримафейские (1903)] [омонимия не снята],NOUN,VERB
"Тому, может, лестно показалось,", как ,"его расписывали, он и поддакнул: « Было ",1923-1958,художественная,"рассказ, сказка","Тому, может, лестно показалось, как его расписывали, он и поддакнул: « Было дело, скупал старинное оружие и на те базары ездил, где его больше достать можно». [В. В. Бианки. Лесные были и небылицы (1923-1958)] [омонимия не снята]",VERB,NPRO
"искать, все мы будем искать?", Как ,прольешь кровь? ,1902-1903,нехудожественная,фельетон,"искать, все мы будем искать? Как прольешь кровь?  [А. С. Серафимович. Заметки обо всем (1902-1903)] [омонимия не снята]",INFN,VERB
радуются ― и люди и мы?, Как ,это ― Новый год? ,1901,нехудожественная,статья,"радуются ― и люди и мы? Как это ― Новый год?  [И. В. Бабушкин. Корреспонденции, напечатанные в газете «Искра» (1901)] [омонимия не снята]",NPRO,PRCL
"С больными доктор Базелевич обращается,", как ,настоящий живодёр.,1942,художественная,сказ,"С больными доктор Базелевич обращается, как настоящий живодёр. [П. П. Бажов. Жабреев ходок (1942)] [омонимия не снята]",VERB,ADJF
"Голос ее гремел,", как ,гром в горах.  ,1943-1946,нехудожественная,"дневник, записные книжки","Голос ее гремел, как гром в горах.   [Л. К. Бронтман. Дневники и письма (1943-1946)] [омонимия не снята]",VERB,NOUN
Процесс объединения Германии, как ,будто завершается.,1923,художественная,роман,Процесс объединения Германии как будто завершается. [В. К. Арсеньев. Дерсу Узала (1923)] [омонимия не снята],NOUN,CONJ
"позы с таким поэтическим видом,", как ,будто он ими привык торговать.  ,1939,художественная,сказ,"штрипкой, в лиловых, таких безупречных носках из крученого шелка; фарфоровый профиль подняв и заплававши баками, планировал свои позы с таким поэтическим видом, как будто он ими привык торговать.   [П. П. Бажов. Тяжелая витушка (1939)] [омонимия не снята]",NOUN,CONJ
