Left context,Center,Right context,Created,Sphere,Type,Full context,Left_context_POS,Right_context_POS
А́нька же у на́с, аки ,сло́н― споко́йная.  ,1987,"кино, нехудожественная","кино историческое, кино приключенческое","А́нька же у на́с аки сло́н― споко́йная.   [Нина Соротокина, Светлана Дружинина, Юрий Нагибин. Гардемарины, вперед!, к/ф (1987)] [омонимия не снята]",NOUN,NOUN
что прикры́в сра́м лица́ бородо́ю /, аки ,го́лубь в свято́м неве́дении возноси́ла моли́твы.,1937,"кино, нехудожественная","кино историческое, экранизация","Те́м и сильна́ была́ Росси́я / что прикры́в сра́м лица́ бородо́ю / аки го́лубь в свято́м неве́дении возноси́ла моли́твы. [Алексей Толстой, Владимир Петров, Николай Лещенко. Петр Первый, к/ф (1937)] [омонимия не снята]",VERB,VERB
Виде́ния сказу́ют/, аки ,бы шпио́нами к Бо́гу ходи́ли/ притво́рныя ,1973,"кино, нехудожественная",кинокомедия,"Виде́ния сказу́ют/ аки бы шпио́нами к Бо́гу ходи́ли/ притво́рныя по́вести/ то́ есть баби́я ба́сни ба́ют/ за́поведи безде́льныя/ хране́ния суеве́рная кладу́т». [Владлен Бахнов, Леонид Гайдай, Михаил Булгаков. Иван Васильевич меняет профессию, к/ф (1973)] [омонимия не снята]",VERB,PRCL
И ста́нешь ты́ чи́стая- пречи́стая /, а́ки ,го́рлица / а́ки го́рлица / а́ки го́рлица! ,1968,"кино, нехудожественная","кино военное, кинодрама","И ста́нешь ты́ чи́стая- пречи́стая / а́ки го́рлица / а́ки го́рлица / а́ки го́рлица!  [Валерий Фрид, Евгений Карелов, Юлий Дунский. Служили два товарища, к/ф (1968)] [омонимия не снята]",ADJF,NOUN
Её сопе́рница из Япо́нии, А́ки ,Тоно́кио / на неда́внем чемпиона́те ми́ра в ,2002,"нехудожественная, устная непубличная речь","праздный, разговор",Её сопе́рница из Япо́нии А́ки Тоно́кио / на неда́внем чемпиона́те ми́ра в Ри́ме была́ зая́влена Паме́ла / но не стартова́ла / ну и бежа́ла она́ зде́сь диста́нцию пятьсо́т ме́тров.   [Разговоры за столом на отдыхе (2002) // Из коллекции Саратовского университета] [омонимия не снята],NOUN,NOUN
По ва́шему сле́ду, аки ,пёс ры́щет.  ,2009,"монолог научный, нехудожественная, устная публичная речь",лекция,По ва́шему сле́ду аки пёс ры́щет.   [Виктор Живов. Русский грех и русское спасение. Лекция Полит.ру (2009)] [омонимия не снята],NOUN,NOUN
применительно к перспективам принятия Украиной, АКИ ,"как такового и тех так называемых "" ",1980,"кино, нехудожественная","кино военное, кинокомедия","Конечно / в Европе стал доминировать скептицизм применительно к перспективам принятия Украиной АКИ как такового и тех так называемых "" европейских ценностей"". [Виталий Шунько, Николай Литус. Дачная поездка сержанта Цыбули, к/ф (1980)] [омонимия не снята]",NOUN,CONJ
Ли́шь бы вра́г мо́й, аки ,Нью́тон чита́л.,2009,"нехудожественная, устная непубличная речь",разговор при встрече,Ли́шь бы вра́г мо́й аки Нью́тон чита́л. [Разговор на улице (2009) // Из коллекции НКРЯ] [омонимия не снята],VERB,NOUN
По́ морю /, а́ки ,по́ суху…,2006,"нехудожественная, устная публичная речь",репортаж,"По́ морю / а́ки по́ суху… [Иван Скобрев, Михаил Сёмин. Спортивный репортаж: конькобежный спорт. Олимпийские игры. 19.02.2006 (2006) // Т/к «Спорт», прямой эфир] [омонимия не снята]",NOUN,UNKN
всё в труда́х / Вели́кий госуда́рь., Аки ,пчела́.  ,2001,"нехудожественная, устная публичная речь",конференция,всё в труда́х / Вели́кий госуда́рь. Аки пчела́.   [Семинар «10 лет СНГ: некоторые итоги» (2001) // Из коллекции НКРЯ] [омонимия не снята],VERB,UNKN
И поплыла/, яки ,акула//  ,1977,"кино, нехудожественная","кинодрама, кинокомедия, экранизация","И поплыла/ яки акула//   [Антон Чехов, Михаил Швейцер. Смешные люди!, к/ф (1977)] [омонимия не снята]",VERB,NOUN
