Left context,Center,Right context,Created,Sphere,Type,Full context,Left_context_POS,Right_context_POS
Аще же приставить себе, аки ,"крылья деревянны, противу естества творит.",1996,художественная,роман,"Аще же приставить себе аки крылья деревянны, противу естества творит. [Андрей Лазарчук, Михаил Успенский. Посмотри в глаза чудовищ (1996)] [омонимия не снята]",NPRO,NOUN
"А выдумку,", аки ,"дьявольскою помощью снаряженную, после божественный литургии ",1996,художественная,роман,"А выдумку, аки дьявольскою помощью снаряженную, после божественный литургии огнем сжечь».   [Андрей Лазарчук, Михаил Успенский. Посмотри в глаза чудовищ (1996)] [омонимия не снята]",NOUN,ADJF
, аки ,"Григорий Богослов” ( до груди, « густа и ",2001,художественная,роман,"аки Григорий Богослов” ( до груди, « густа и широка»);    [Евгений Прошкин. Механика вечности (2001)] [омонимия не снята]",,NOUN
, аки ,"Василий Великий” (« брада до персей подоле», ",2001,художественная,роман,"аки Василий Великий” (« брада до персей подоле», узкая);    [Евгений Прошкин. Механика вечности (2001)] [омонимия не снята]",,NOUN
, аки ,Иоанн ( икий) Великий” (« брада велика и ,2001,художественная,роман,аки Иоанн ( икий) Великий” (« брада велика и широка на концы вдвое   [Евгений Прошкин. Механика вечности (2001)] [омонимия не снята],,NOUN
, аки ,Иоанн ( икий) Великий” (« брада велика и ,2001,художественная,роман,аки Иоанн ( икий) Великий” (« брада велика и широка на концы вдвое   [Евгений Прошкин. Механика вечности (2001)] [омонимия не снята],,NOUN
раскинулась»);, аки ,Филогений” (« на оба плеча раскинулась»);   ,2001,художественная,роман,раскинулась»); аки Филогений” (« на оба плеча раскинулась»);    [Евгений Прошкин. Механика вечности (2001)] [омонимия не снята],VERB,UNKN
Филогений” (« на оба плеча раскинулась»);, аки ,Захарий пророк” (« до пояса длина»);   ,2001,художественная,роман,Филогений” (« на оба плеча раскинулась»); аки Захарий пророк” (« до пояса длина»);    [Евгений Прошкин. Механика вечности (2001)] [омонимия не снята],VERB,NOUN
Захарий пророк” (« до пояса длина»);, аки ,Макарий Римский” ( клином « до полуколена»);   ,2001,художественная,роман,Захарий пророк” (« до пояса длина»); аки Макарий Римский” ( клином « до полуколена»);    [Евгений Прошкин. Механика вечности (2001)] [омонимия не снята],NOUN,NOUN
раскинулась»);, аки ,Филогений” (« на оба плеча раскинулась»);   ,2001,художественная,роман,раскинулась»); аки Филогений” (« на оба плеча раскинулась»);    [Евгений Прошкин. Механика вечности (2001)] [омонимия не снята],VERB,UNKN
