Left context,Center,Right context,Created,Sphere,Type,Full context,Left_context_POS,Right_context_POS
никто́ не бу́дет вести́ до́лгий, а́-ля́ ,,2019,"нехудожественная, устная непубличная речь","домашний, разговор","С тобо́й никто́ не бу́дет вести́ до́лгий а́-ля́…   [Разговор двух студенток о кино, одноклассниках (2019) // Из коллекции НКРЯ] [омонимия не снята]",NOUN,
Ну да́/ та́м своя́ каните́ль., а́-ля́ ,задуше́вные бесе́ды.,2019,"нехудожественная, устная непубличная речь","домашний, разговор","Ну да́/ та́м своя́ каните́ль. а́-ля́ задуше́вные бесе́ды. [Разговор двух студенток о кино, одноклассниках (2019) // Из коллекции НКРЯ] [омонимия не снята]",NOUN,ADJF
шесто́го го́да а́а ну та́м, а́-ля́ ,путеводи́тель по Краснодо́ну/ и вот та́м ,2019,"нехудожественная, устная непубличная речь","домашний, разговор","Еди́нственное/ что́ я́ нашла́― э́то а́а во́семьсьт шесто́го го́да а́а ну та́м а́-ля́ путеводи́тель по Краснодо́ну/ и вот та́м про нов… про па́мятники/ кото́рые молодогварде́йцам откры́ли.   [Разговор двух студенток о кино, одноклассниках (2019) // Из коллекции НКРЯ] [омонимия не снята]",NOUN,NOUN
ни́х там е́сть ки́е-то ти́па, а́-ля́ ,о́колоинтеллектуа́льные…  ,2019,"нехудожественная, устная непубличная речь","домашний, разговор","В ито́ге у ни́х е́сть двена́дцатый кла́сс/ в ито́ге у ни́х там е́сть ки́е-то ти́па а́-ля́ о́колоинтеллектуа́льные…   [Разговор двух студенток о кино, одноклассниках (2019) // Из коллекции НКРЯ] [омонимия не снята]",NOUN,UNKN
в бел… ну́/ ти́па в пара́дной, а́-ля́ ,фо́рме.,2019,"нехудожественная, устная непубличная речь","домашний, разговор","Потому́ что на́до бы́ло бы́ть ну в бел… ну́/ ти́па в пара́дной а́-ля́ фо́рме. [Разговор двух студенток о кино, одноклассниках (2019) // Из коллекции НКРЯ] [омонимия не снята]",NOUN,NOUN
никаки́х там уже́ не́ту ти́па, а́-ля́ ,пода́рков?   ,2015,"нехудожественная, устная непубличная речь","разговор, телефонный",Молодо́й челове́к/ а у ва́с никаки́х там уже́ не́ту ти́па а́-ля́ пода́рков?    [Заказ еды по телефону (2015) // Из коллекции НКРЯ] [омонимия не снята],NOUN,NOUN
"фотогра́фии уже́/ так сказа́ть/ а́а """, а́-ля́ ,таки́е/ ка́к бы композицио́нного ти́па.,2013,"нехудожественная, устная непубличная речь",беседа,"Я́ уже́ по́нял/ что ста́л до́ма де́лать э́ти вся́кие компози́ции сос све́том/ те́нью/ де́лать вся́кие а́а фотогра́фии уже́/ так сказа́ть/ а́а "" а́-ля́"" таки́е/ ка́к бы композицио́нного ти́па. [В.В. Смолянинов, В.Г. Буданов. Беседа В.Г. Буданова c В.В. Смоляниновым (2013) // http://oralhistory.ru/] [омонимия не снята]",UNKN,NOUN
что ка́к де́лать там – та́к, а-ля́ ,Ле́нин/ да́/ та́к сказа́ть/ зада́чи/ да́/ « ,2012,"нехудожественная, устная непубличная речь",беседа,"Не́т- не́т/ социа́льные – не то́/ что ка́к де́лать там – та́к а-ля́ Ле́нин/ да́/ та́к сказа́ть/ зада́чи/ да́/ « апре́льские те́зисы» / а то́/ ка́к э́то происхо́дит/ вот ка́к/ та́к сказа́ть  [нрзб]  в це́лом?..   [В.Г.Буданов, В.М.Розин. Беседа В.Г. Буданова с В.М. Розиным (Первая беседа) (2012) // http://oralhistory.ru/] [омонимия не снята]",NOUN,NOUN
сде́лан ещё вот э́тот семина́р, а-ля́ ,подготови́тельный к экза́мену/ а-ля́ ну тако́й ,2007,"нехудожественная, устная публичная речь",семинар,сде́лан ещё вот э́тот семина́р а-ля́ подготови́тельный к экза́мену/ а-ля́ ну тако́й о́бщий индивидуа́льный ту́р/ ну и када́ вы́ мне́ то́же бу́дете отвеча́ть на каки́е-нибудь вопро́сы/ потому́ что я́ то́же три́ часа́ говори́ть уста́ну. [Семинар для туристических агентств (2007) // Из коллекции НКРЯ] [омонимия не снята],NOUN,ADJF
са́йте мо́жете посмотре́ть/ така́я та́м, а-ля́ ,кре́пость на отде́льном островке́/ пешехо́дные у́лочки/ ,2007,"нехудожественная, устная публичная речь",семинар,Да́/ на ка́рту да́же мо́жете/ о́й/ не на ка́рту/ на на́шем са́йте мо́жете посмотре́ть/ така́я та́м а-ля́ кре́пость на отде́льном островке́/ пешехо́дные у́лочки/ ну по́лный романти́к и для пожилы́х/ и для влюблённых/ и для молоды́х/ для кого́ уго́дно лишь бы была́ маши́на.   [Семинар для туристических агентств (2007) // Из коллекции НКРЯ] [омонимия не снята],NOUN,NOUN
потому́ что Дови́ль всё-таки тако́й, а-ля́ ,междунаро́дный/ а Ля́- Бо́ль ну́/ вот ,2007,"нехудожественная, устная публичная речь",семинар,о́н свобо́дно говори́т на францу́зском и ему́ хоте́лось бы побыва́ть/ что называ́ется/ в компа́нии таки́х же бра́тьев- францу́зов/ то/ мо́жет быть/ да́же Ля́- Бо́ль бу́дет и вообще́ бо́лее интере́сней/ потому́ что Дови́ль всё-таки тако́й а-ля́ междунаро́дный/ а Ля́- Бо́ль ну́/ вот тако́й сме́шанный/ совсе́м небольшо́й/ тако́й споко́йный. [Семинар для туристических агентств (2007) // Из коллекции НКРЯ] [омонимия не снята],VERB,ADJF
и лекция у нас такая /, а-ля ,подготовка / но и понятие того / как ,2007,"нехудожественная, устная публичная речь",семинар,Но на этом индивидуальный тур не заканчивается и лекция у нас такая / а-ля подготовка / но и понятие того / как это делается правильно. [Тренинг туристической фирмы (2007) // Из коллекции НКРЯ] [омонимия не снята],ADJF,NOUN
в которых свои огромные звезды, а-ля ,наше Солнце.,2006,"нехудожественная, устная непубличная речь","праздный, разговор",Но ведь есть еще миллионы галактик / в которых свои огромные звезды а-ля наше Солнце. [Об инопланетной жизни (2006) // Из коллекции НКРЯ] [омонимия не снята],NOUN,ADJF
перед нами две сигаретки / тоненькая, а-ля ,зубочистка и обыкновенная.,2006,"нехудожественная, устная непубличная речь","праздный, разговор",Вот меня вопрос мучает / перед нами две сигаретки / тоненькая а-ля зубочистка и обыкновенная. [Разговор в баре (2006) // Из коллекции НКРЯ] [омонимия не снята],ADJF,NOUN
, А-ля ,такой / ну / Костя Шевченко и то ,2006,"нехудожественная, устная непубличная речь","разговор, телефонный",А-ля такой / ну / Костя Шевченко и то лучше / я думала / он более мужественный / а он какой-то немужественный / а мне не нравится / когда немужественный / вообще / странно какой он мужик- то?    [Телефонный разговор (2006) // Из коллекции НКРЯ] [омонимия не снята],,ADJF
так / мы решили повторить эксперимент, а-ля ,Бесприданница» / но / правда / в спортивно- полевых ,2005,"нехудожественная, устная публичная речь",интервью,И так / мы решили повторить эксперимент а-ля «Бесприданница» / но / правда / в спортивно- полевых условиях. [Телеинтервью с олимпийским чемпионом по стрельбе (2005) // Из коллекции НКРЯ] [омонимия не снята],NOUN,NOUN
знако́мым и незнако́мым Де́лать приёмы, а́-ля ,фурше́т!   ,1978,"кино, нехудожественная","кинокомедия, киномюзикл, экранизация","Что́б вме́сто ка́ши / Вме́сто лава́ша Су́п черепа́ший бы́л на обе́д / Что́бы знако́мым и незнако́мым Де́лать приёмы а́-ля фурше́т!    [Александр Цагарели, Борис Рацер, Владимир Константинов, Георгий Товстоногов, Юрий Аксенов. Ханума (телеспектакль) (1978)] [омонимия не снята]",NOUN,NOUN
да́же са́мые таки́е по́шло- романти́ческие –, а-ля́ ,На́дсон/ что у Есе́нина/ ви́дите ли/ ,1974,"нехудожественная, устная непубличная речь",беседа,"Во́т Есе́нин в « Перева́ле» выступа́л/ я́ та́м прису́тствовал/ ну́/ вообще́/ ка́ждый… Да́же ходи́ли вся́кие ве́рсии фантасти́ческие/ да́же са́мые таки́е по́шло- романти́ческие – а-ля́ На́дсон/ что у Есе́нина/ ви́дите ли/ откры́лась чахо́тка/ как полага́лось вообще́ так лири́ческому поэ́ту. [В.Д.Дувакин, В.Е.Ардов. Беседа В.Д. Дувакина с В.Е. Ардовым (Вторая беседа - 6 августа 1974 года) (1974) // http://oralhistory.ru/] [омонимия не снята]",PNCT,NOUN
, А-ля ,ля- ля- ля- ля́ / а-ля́- ля- ,1970,"кино, нехудожественная","киносказка, мультфильм, экранизация","А-ля́-ля- ля- ля- ля́ / а-ля́- ля- ля- ля- ля́!    [Астрид Линдгрен, Борис Ларин, Борис Степанцов. Карлсон вернулся, м/ф (1970)] [омонимия не снята]",,NOUN
, А-ля ,ля- ля- ля- ля́ / а-ля́- ля- ,1970,"кино, нехудожественная","киносказка, мультфильм, экранизация","А-ля́-ля- ля- ля- ля́ / а-ля́- ля- ля- ля- ля́!  [Астрид Линдгрен, Борис Ларин, Борис Степанцов. Карлсон вернулся, м/ф (1970)] [омонимия не снята]",,NOUN
Ну́ /, а́-ля ,ле́! ,1961,"кино, нехудожественная",кинокомедия,"Ну́ / а́-ля́-ле́!  [Алексей Каплер, Виктор Конецкий, Владимир Фетин. Полосатый рейс, к/ф (1961)] [омонимия не снята]",UNKN,UNKN
Нѐт- не́т / спаси́бо / мы́…, а-ля́ ,фурше́т.  ,1957,"кино, нехудожественная","киномелодрама, экранизация","Нѐт- не́т / спаси́бо / мы́… а-ля́ фурше́т.   [Василий Левин, Мария Смирнова, Николай Атаров. Повесть о первой любви, к/ф (1957)] [омонимия не снята]",UNKN,NOUN
