Left context,Center,Right context,Created,Sphere,Type,Full context
дополняющее тёмные усы и эспаньолку, а-ля ,"Анри катр"", ― типичного монпарнасского интеллектуала, завсегдатая "" ",2010,художественная,повесть,"мягким козырьком вроде той, которую так недолго нашивал Керенский, но зато хорошо дополняющее тёмные усы и эспаньолку а-ля ""Анри катр"", ― типичного монпарнасского интеллектуала, завсегдатая "" Ротонды"" или "" Клозери де Лила"", знатока всех видов изящных искусств, в особенности итальянского Возрождения, блестящего оратора, умевшего без подготовки, экспромтом, говорить на любую тему подряд два часа, ни разу не запнувшись и не запутавшись в слишком длинных придаточных предложениях.   [Татьяна Соломатина. Девять месяцев, или «Комедия женских положений» (2010)] [омонимия не снята]"
неё были хорошо причёсанные волосы, а-ля ,"директуар, а глаза были отнюдь не ",2010,художественная,повесть,"Судя по портретам, у неё были хорошо причёсанные волосы а-ля директуар, а глаза были отнюдь не тихие медовые, а черносмородинные, прелестные, хотя и слегка близорукие.   [Татьяна Соломатина. Девять месяцев, или «Комедия женских положений» (2010)] [омонимия не снята]"
"с шапкой кудрявых волос, причёсанных", а-ля ,"Титус, по крайней мере в юности.",2010,художественная,повесть,"При маленьком росте ключик был коренаст, крепок, с крупной красивой головой с шапкой кудрявых волос, причёсанных а-ля Титус, по крайней мере в юности. [Татьяна Соломатина. Девять месяцев, или «Комедия женских положений» (2010)] [омонимия не снята]"
"положив руки под голову, причёсанную", а-ля ,"Титус, с твёрдым подбородком, и видел ",2010,художественная,повесть,"Он был сделан как бы спящим на траве ― маленький, с поджатыми ногами, юноша- гимназист, ― положив руки под голову, причёсанную а-ля Титус, с твёрдым подбородком, и видел неземные сны, а вокруг него, как некогда он сам написал:    [Татьяна Соломатина. Девять месяцев, или «Комедия женских положений» (2010)] [омонимия не снята]"
Стиль, а-ля ,"Глеб Жеглов, по наблюдениям продавцов, пользуется ",2010,художественная,записки,"Стиль а-ля Глеб Жеглов, по наблюдениям продавцов, пользуется большой популярностью у миниатюрных модниц ― за последние две недели были распроданы все кожаные пальто маленьких размеров.   [Михаил Бару. Записки понаехавшего (2010)] [омонимия не снята]"
Вместо эскалопа, а-ля ,жардиньер ― пилюли ( мало мне « пинка»! ,2006,художественная,роман,Вместо эскалопа а-ля жардиньер ― пилюли ( мало мне « пинка»!  [Ирина Павская. «Джоконда» Мценского уезда (2006)] [омонимия не снята]
художника и в круглых очочках, а-ля ,Джон Леннон… Девушка с большими дизайнерскими ,2007,художественная,рассказ,"Парень в большом шерстяном берете художника и в круглых очочках а-ля Джон Леннон… Девушка с большими дизайнерскими серьгами, похожими на парусные корабли… И другие. [Сергей Ястребов. Лунная соната (2007)] [омонимия не снята]"
в добротных домах позднего совка, а-ля ,Ирония судьбы».,2007,художественная,рассказ,Бобс жил возле метро « Перово» в добротных домах позднего совка а-ля «Ирония судьбы». [Сергей Ястребов. Лунная соната (2007)] [омонимия не снята]
серьезный мужчина в черных очках, а-ля ,"генерал Войцех Ярузельский, два подростка ― будущие ",1977-1979,художественная,роман,"В Москве к общению с президентом на Пушкинской площади немедленно были готовы приступить пять человек ― серьезный мужчина в черных очках а-ля генерал Войцех Ярузельский, два подростка ― будущие производители летательных аппаратов и 63- летняя противница пьянства из Бабушкинского района. [Василий Аксенов. Остров Крым (1977-1979)] [омонимия не снята]"
успели набить свой готовый штамп «, а-ля ,"Станиславский», который тоже успел износиться, выродиться ",1987,художественная,пьеса,"С тех пор они уже успели набить свой готовый штамп « а-ля Станиславский», который тоже успел износиться, выродиться и стать не лучше прежних стилей « Фауста» и « Гугенотов». [Николай Коляда. Барак (1987)] [омонимия не снята]"
"репертуар кинотеатров Германии, а кинолент", а-ля ,"Триумф воли» Лени Рифеншталь ( хотя, кто ",1998-2007,художественная,повесть,"На самом же деле подобные фильмы составляли основной репертуар кинотеатров Германии, а кинолент а-ля «Триумф воли» Лени Рифеншталь ( хотя, кто бы мог с ней поспорить!  [Михаил Гиголашвили. Экобаба и дикарь (1998-2007) // «Зарубежные записки», 2009] [омонимия не снята]"
благоуханиях пармской фиалки и буке-, а-ля ,"марешаль, эта отечественная непристойность напоминала запах ",1996,художественная,повесть,"И в самом деле, здесь, в замороженном приличии большого света, в благоуханиях пармской фиалки и буке- а-ля-марешаль, эта отечественная непристойность напоминала запах рыбного садка у Пантелеймонского моста или гнилой капусты из погребов Пустого рынка.   [Вячеслав Рыбаков. Трудно стать Богом (1996)] [омонимия не снята]"
по средам мероприятия…, а-ля ,текила- пати… с 18 ч… не ,2008,художественная,роман,по средам мероприятия… а-ля текила- пати… с 18 ч… не в ущерб офисной работе. [Маша Трауб. Не вся la vie (2008)] [омонимия не снята]
спинкой возвышалась пегая пышная голова, а-ля ,Помпадур.,2011,"нехудожественная, электронная коммуникация",форум,"А в эркере, спиной к двери, стояло инвалидное кресло на колесах, нескладное, больничное, крашенное белым по железу, и над спинкой возвышалась пегая пышная голова а-ля Помпадур. [коллективный. Форум: Как нащщот по пиву сегодня? (2011)] [омонимия не снята]"
"водкой, наряженная кем-то в одежду «", а-ля ,"бомж» и сброшенная с моста, ― такое ",2004,художественная,повесть,"Женщина преклонных лет с дорогим маникюром на руках и ногах, накачанная водкой, наряженная кем-то в одежду « а-ля бомж» и сброшенная с моста, ― такое вряд ли может понравиться!    [Елена Хаецкая. Синие стрекозы Вавилона/ Человек по имени Беда (2004)] [омонимия не снята]"
