Left context,Center,Right context,Created,Sphere,Type,Full context,Left_context_POS,Right_context_POS
Та́к / дава́й / дава́й / как, бу́дто ,пры́гнул.,2006,кино,"кинокомедия, кинофарс","Та́к / дава́й / дава́й / как бу́дто пры́гнул. [Владимир Пресняков, Кирилл Серебренников, Олег Пресняков. Изображая жертву, к/ф (2006)] [омонимия не снята]",CONJ,VERB
У меня́ тако́е ощуще́ние /, бу́дто ,мне́ вы́стрелили в живо́т.  ,1949,кино,"кино военное, кинодетектив","У меня́ тако́е ощуще́ние / бу́дто мне́ вы́стрелили в живо́т.   [Григорий Александров, Лев Шейнин, Леонид Тубельский, Петр Рыжей. Встреча на Эльбе, к/ф (1949)] [омонимия не снята]",NOUN,UNKN
Матве́евна / что явля́етесь Вы́ мне́ /, бу́дто ,чи́стая ле́бедь / бу́дто плывёте себе́ / куда́ ,1970,устная публичная речь,беседа,"А ещё скажу́ Ва́м / разлюбе́зная Катери́на Матве́евна / что явля́етесь Вы́ мне́ / бу́дто чи́стая ле́бедь / бу́дто плывёте себе́ / куда́ Ва́м тре́буется / или по де́лу како́му / да́же сказа́ть затрудня́юсь… [В.Д.Дувакин, Л.А.Люстерник. Беседа с Л.А. Люстерником (1970) // «Собрание фонодокументов имени В.Д. Дувакина» Отдела устной истории Научной библиотеки МГУ им. М.В. Ломоносова, 2005] [омонимия не снята]",UNKN,NOUN
О́н ещё как, бу́дто ,бы са́м больно́й.,2003,кино,"кинодрама, экранизация","О́н ещё как бу́дто бы са́м больно́й. [Владимир Бортко, Федор Достоевский. Идиот, к/ф (2003)] [омонимия не снята]",CONJ,PRCL
Как, бу́дто ,заснёшь.,1974,устная непубличная речь,беседа,"Как бу́дто заснёшь. [В.Д.Дувакин, В.Е.Ардов. Беседа В.Д. Дувакина с В.Е. Ардовым (Вторая беседа - 6 августа 1974 года) (1974) // http://oralhistory.ru/] [омонимия не снята]",CONJ,VERB
Лега́вые визжа́ли как щенки́ /, бу́дто ,чего́-то боя́лись / и проси́лись в це́рковь.,2005,кино,"кинодрама, экранизация","Лега́вые визжа́ли как щенки́ / бу́дто чего́-то боя́лись / и проси́лись в це́рковь. [Гиви Шавгулидзе, Мариэтта Захарян, Николай Гоголь, Павел Лунгин, Юрий Арабов. Дело о «Мертвых душах» / к/ф (2005)] [омонимия не снята]",UNKN,UNKN
о́чень ча́сто ви́жу во сне́ /, бу́дто ,па́даю с ба́шни.,1957,кино,"кинодрама, киномелодрама, экранизация","Я́ о́чень ча́сто ви́жу во сне́ / бу́дто па́даю с ба́шни. [Григорий Козинцев, Евгений Шварц, Сааведра Мигель Сервантес. Дон Кихот, к/ф (1957)] [омонимия не снята]",UNKN,VERB
Я́ как, бу́дто ,ва́с где́-то ви́дела.,2003,кино,"кинодрама, экранизация","Я́ как бу́дто ва́с где́-то ви́дела. [Владимир Бортко, Федор Достоевский. Идиот, к/ф (2003)] [омонимия не снята]",CONJ,NOUN
о́н ка́к-то бы уже́ как, бу́дто ,и жда́л э́того всего́.,2007,кино,кинодрама,"А ма́льчик мо́й / о́н ка́к-то бы уже́ как бу́дто и жда́л э́того всего́. [Александр Новотоцкий-Власов, Владимир Моисеенко, Никита Михалков. Двенадцать, к/ф (2007)] [омонимия не снята]",CONJ,CONJ
Но вот э́ти как, бу́дто ,бы сде́ланы или со́браны сами́м Полика́рпом.  ,1974,кино,"кино детское, кино приключенческое, кинодетектив, экранизация","Но вот э́ти как бу́дто бы сде́ланы или со́браны сами́м Полика́рпом.   [Анатолий Рыбаков, Николай Калинин. Бронзовая птица, к/ ф (1974)] [омонимия не снята]",CONJ,PRCL
Как, бу́дто ,ничего́.  ,1968,кино,"кинодетектив, экранизация","Как бу́дто ничего́.   [Вадим Кожевников, Владимир Басов. Щит и меч, к/ф (1968)] [омонимия не снята]",CONJ,UNKN
Как, бу́дто ,сговори́лись.  ,2002,кино,"кинокомедия, экранизация","Как бу́дто сговори́лись.   [Деймон Ранион, Дмитрий Астрахан, Олег Данилов. Леди на день, к/ф (2002)] [омонимия не снята]",CONJ,VERB
Конту́зило, бу́дто ,,1971,кино,"кино музыкальное, кинодрама, кинокомедия, киномелодрама, экранизация","Конту́зило бу́дто. [Абрам Народицкий, Аркадий Гайдар, Евгений Митько, Николай Рашеев. Бумбараш, к/ф (1971)] [омонимия не снята]",VERB,
сожале́нию/ действи́тельно журнали́стика/ она́ как, бу́дто ,така́я/ зна́ете/ принципиа́льно непрофессиона́льная.  ,2012,устная непубличная речь,беседа,"Но э́то/ к сожале́нию/ действи́тельно журнали́стика/ она́ как бу́дто така́я/ зна́ете/ принципиа́льно непрофессиона́льная.   [Д.Б.Споров, Д.В.Сарабьянов, Е.Б.Мурина. Беседа Д.Б. Спорова с Е.Б. Муриной и Д.В. Сарабьяновым (2012) // http://oralhistory.ru/] [омонимия не снята]",CONJ,GRND
