Left context,Center,Right context,Created,Sphere,Type,Full context,Left_context_POS,Right_context_POS
"Тартыге это не приятно, ― как", будто ,"он провинился в чем-нибудь дурном, и ",1913,художественная,рассказ,"Тартыге это не приятно, ― как будто он провинился в чем-нибудь дурном, и маленьким червячком сосет внутри желание расположить в свою пользу мужиков… [А. А. Богданов. Перед рассветом (1913)] [омонимия не снята]",CONJ,NPRO
"они реже, ― когда она как", будто ,светлела и молодела.,1862,нехудожественная,мемуары,"чем далее шла жизнь, тем становились они реже, ― когда она как будто светлела и молодела. [А. А. Григорьев. Мои литературные и нравственные скитальчества (1862)] [омонимия не снята]",CONJ,VERB
Бричка, будто ,замерла на миг и Велька замер ,1980-1995,художественная,пьеса,"Бричка будто замерла на миг и Велька замер вместе с ней, глядя, как небо вдруг переехало влево, а справа вытянулась рыже- черная земля, из которой высоко над головой торчали деревья.   [А. А. Образцов. Все кошки серы (1980-1995)] [омонимия не снята]",NOUN,VERB
Их как, будто ,"растащило талыми водами, дождями, ветром: стабилизаторы ",1995,нехудожественная,статья,"Их как будто растащило талыми водами, дождями, ветром: стабилизаторы затянуло песком, головки взрывателей торчат снаружи. [А. А. Лискин. 50 лет Победы. Лагерь дождевого червя // «Вокруг света», 1995] [омонимия не снята]",CONJ,VERB
Как, будто ,бы я уже там теперь не ,1908,бытовая,"дневник, записные книжки","Как будто бы я уже там теперь не такая чужая, как раньше.   [А. А. Аллендорф. Дневник (1908)] [омонимия не снята]",CONJ,PRCL
"Слух, разнесшийся в тех краях,", будто ,бы Австрия позволяет французскому правительству послать ,1862,художественная,рассказ,"Слух, разнесшийся в тех краях, будто бы Австрия позволяет французскому правительству послать чрез ее владения армию для нападения на области Оттоманской империи, совершенно несправедлив, а потому должно опровергать оной в Черногории, дабы не воспалить умы жителей противу австрийцев.   [А. А. Фет. Осенние хлопоты (1862)] [омонимия снята]",NOUN,PRCL
опять что-то призрачное и как, будто ,потустороннее почудилось мне и в этих ,1892,нехудожественная,мемуары,И опять что-то призрачное и как будто потустороннее почудилось мне и в этих христианских молитвах и в этом стройном гуле голосов.   [А. А. Шкляревский. Из воспоминаний о Некрасове (1892)] [омонимия не снята],CONJ,ADJF
Березки как, будто ,"передавая ему альбом, сказал я.",1926,нехудожественная,мемуары,"Березки как будто, ― передавая ему альбом, сказал я. [M. П. Мурашев. Сергей Есенин (1926)] [омонимия не снята]",CONJ,GRND
"Старшина с писарем сказывали,", будто ,"распоряжение из губернии вышло, у кого ",1900-1912,художественная,рассказ,"Старшина с писарем сказывали, будто распоряжение из губернии вышло, у кого там корова, али лошадь, али што такое ― все в недоимку зачислять…   [А. А. Богданов. Крыга (1900-1912)] [омонимия не снята]",VERB,NOUN
"Ясной Поляне, что, мне кажется,", будто ,я сам пировал на месте крокета.  ,1934,художественная,рассказ,"Страхов так живо обрисовал мне все семейные торжества в Ясной Поляне, что, мне кажется, будто я сам пировал на месте крокета.   [А. А. Фадеев. Землетрясение (1934)] [омонимия не снята]",CONJ,NPRO
"в окнах промелькнул свет, как", будто ,бы кто-то пробежал из одной комнаты ,1883-1887,художественная,рассказ,"Тяжело вздохнув о своей неудаче, я собирался вернуться домой, как неожиданно в окнах промелькнул свет, как будто бы кто-то пробежал из одной комнаты в другую ― с зажженною свечою. [А. А. Черкасов. Шахтама (1883-1887)] [омонимия не снята]",CONJ,PRCL
"на скрытые свои сокровища, как", будто ,желая охранять их и по кончине.,1830,художественная,рассказ,"Сам хозяин лег мертвый на скрытые свои сокровища, как будто желая охранять их и по кончине. [А. А. Бестужев-Марлинский. Вечер на кавказских водах в 1824 году (1830)] [омонимия не снята]",CONJ,GRND
