Left context,Center,Right context,Created,Sphere,Type,Full context,Left_context_POS,Right_context_POS
"Все было сделано точно, быстро ―", как ,и всегда.  ,1941,нехудожественная,"дневник, записные книжки","Все было сделано точно, быстро ― как и всегда.   [А. А. Авдеев. Дневник (1941)] [омонимия не снята]",ADVB,CONJ
"у меня такого жадного слушателя,", как ,Есенин.,1924,нехудожественная,мемуары,"Но, пожалуй, не было у меня такого жадного слушателя, как Есенин. [E. M. Хитров. В Спас-Клепиковской школе (1924)] [омонимия не снята]",NOUN,NOUN
снаряжаюсь я» и т. д., Как ,"видим, героический музыкальный жанр служит тут ",1939.01.16,нехудожественная,статья,"снаряжаюсь я» и т. д. Как видим, героический музыкальный жанр служит тут отрицательной характеристикой. [А. А. Альшванг. Проблемы жанрового реализма. К 70-летию со дня смерти А. С. Даргомыжского (1939.01.16) // «Советское искусство». № 8 (588), 1939] [омонимия не снята]",ADVB,VERB
"берет, заплатит вывод, против того,", как ,и с других обкновенно в тех ,1724,нехудожественная,указ,"Однакож помещик такои вдовы или девки, которая за кого похочет вытить за муж, не должен удержать, ежели тот, кто ее берет, заплатит вывод, против того, как и с других обкновенно в тех мест брать.   [[Петр I]. Плакат о зборе подушном и протчем (1724)] [омонимия не снята]",ADJF,CONJ
Думалось ―, как ,мог появиться здесь такой человек в ,1926,нехудожественная,мемуары,"Думалось ― как мог появиться здесь такой человек в годы пулеметной трескотни, гудящих аэропланов, голодного пайка?  [H. Г. Полетаев. Есенин за восемь лет (1926)] [омонимия не снята]",VERB,VERB
"жемчужной устрицы не что иное,", как ,известняк.,1834,художественная,очерк,"2Страх люблю ученых; кому-то из них вздумалось сказать, что жемчуг есть болезнь перламутра, и все набожно повторяют это сказание, не рассуждая нимало, что болезни свойственны только органической природе, а череп жемчужной устрицы не что иное, как известняк. [А. А. Бестужев-Марлинский. Прощание с Каспием (1834)] [омонимия не снята]",ADJF,NOUN
"приближающагося человѣка и сталъ опасаться,", какъ ,бы онъ не открылъ меня; къ ,1850,художественная,роман,"Нѣсколько времени спустя, я услышалъ шаги осторожно приближающагося человѣка и сталъ опасаться, какъ бы онъ не открылъ меня; къ счастію, незнакомецъ вошелъ въ домъ чрезъ заднее окно, или, вѣрнѣе, отверстіе, потому что оно не имѣло ни стекла, ни рамки. [[Роукрофт Ч.]. Разсказы о колоніяхъ Вандименовой земли // «Современникъ», 1850] [омонимия не снята]",INFN,PRCL
"Залюбоваться надо было,", как ,"постепенно загоралась иллюминация: казалось, огненный перст ",1833,художественная,повесть,"Залюбоваться надо было, как постепенно загоралась иллюминация: казалось, огненный перст чертил пышные узоры на черном покрывале ночи. [А. А. Бестужев-Марлинский. Фрегат «Надежда» (1833)] [омонимия не снята]",VERB,ADVB
"по крайней мере и возможности,", как ,сие честным людям и подданным его ,1721,нехудожественная,устав,"И для того иметь старание по крайней мере и возможности, как сие честным людям и подданным его царского величества пристойно и принадлежит, и они в том пред богом и его величеством, також и пред всем честным светом собственною своею совестию ответ дать могут. [[Петр I]. Регламент или устав главного магистрата (1721)] [омонимия не снята]",NOUN,ADJF
"самых крепостей; и хотя губернаторами,", как ,"Оренбургским, так и Казанским, и помянутым ",1773,нехудожественная,"манифест, указ","пишут, великое возмущение, но причиняет смертные убийства, разорение селений и самых крепостей; и хотя губернаторами, как Оренбургским, так и Казанским, и помянутым генераломншефом, приняты к захвачению его и пресечению всего зла возможнейшие меры, о коих усмотрите вы из копий, которые мы сообщить вам повелели; но дабы всё оное произвелено было с лучшим успехом и скоростию, то повелеваем вам, как наискорее, туда отправиться, и [[Екатерина II]. Манифесты и Указы, относящиеся к пугачевскому бунту (1773)] [омонимия не снята]",NOUN,ADJF
