Left context,Center,Right context,Created,Sphere,Type,Full context
"конь"" / iva / "" как / как бы /", подобно ,,2003,"кино, нехудожественная","кинодрама, экранизация","aSva / это "" конь"" / iva / "" как / как бы / подобно"".   [Владимир Бортко, Федор Достоевский. Идиот, к/ф (2003)] [омонимия не снята]"
прошу́ / прекрати́те / э́то же… сме́рти, подо́бно ,,1980,"кино, нехудожественная","кинодрама, кинокомедия","Я́ ва́с прошу́ / прекрати́те / э́то же… сме́рти подо́бно!  [Григорий Горин, Эльдар Рязанов. О бедном гусаре замолвите слово, к/ф (1980)] [омонимия не снята]"
и если будет создано что-то, подобно ,военного блока между нами и Китаем / ,1979,"кино, нехудожественная",кинодрама,"Я например считаю / что ехать нужно только с той точки зрения / что американцы хотят создать свое противоракетную оборону / и не секрет / что наши военно-технические программы и программы китайцев они схожи тем / что мы все таки им поставляем технологии / правильно Павел сказал / это одно / второе / огромная масса населения / миллиард и больше и если будет создано что-то подобно военного блока между нами и Китаем / я [Александров Червинский, Глеб Панфилов. Тема, к/ф (1979)] [омонимия не снята]"
мире / где есть СПИД / молчание, подобно ,смерти.,1968,"кино, нехудожественная",кинокомедия,"Ну а тему СПИДа обязательно надо поднимать / освещать / потому что еще Кофи Аннан сказал / что в мире / где есть СПИД / молчание подобно смерти. [Евгений Карелов. Семь стариков и одна девушка, к/ф (1968)] [омонимия не снята]"
зна́ю я́ отча́сти / тогда́ позна́ю, подо́бно ,ка́к… я́ по́знан.,1974,"кино, нехудожественная",кино историческое,"Тепе́рь зна́ю я́ отча́сти / тогда́ позна́ю подо́бно / ка́к… я́ по́знан. [Илья Нусинов, Семен Лунгин, Элем Климов. Агония, к/ф (1974)] [омонимия не снята]"
Когда́-нибудь соста́ритесь / как я́ / Е́жели, подо́бно ,ра́ку / Бу́дете пя́титься за́дом.  ,1947,"кино, нехудожественная","кино музыкальное, киномелодрама, киноповесть","И́бо са́ми вы́ / ми́лостивый госуда́рь / Когда́-нибудь соста́ритесь / как я́ / Е́жели подо́бно ра́ку / Бу́дете пя́титься за́дом.   [Евгений Помещиков, Иван Пырьев, Николай Рожков. Сказание о земле сибирской, к/ф (1947)] [омонимия не снята]"
святы́м/ и не на слова́х/, подо́бно ,Бо́гу― свята́я святы́м.,1971,"кино, нехудожественная","кино историческое, кинопритча","То́т/ кто́ не име́ет никаки́х отрица́тельных че́рт хара́ктера/ то́т а́а по́лностью реализова́л в себе́ своё бо́гоподо́бие и бо́гоо́бразность/ то́ есть ста́л святы́м/ и не на слова́х/ подо́бно Бо́гу― свята́я святы́м. [Андрей Тарковский, Андрон Михалков-Кончаловский. Андрей Рублев, к/ф (1971)] [омонимия не снята]"
, Подо́бно ,тому́/ как други́е варя́ги называ́ли себя́ ,1987,"кино, нехудожественная","вестерн, кинокомедия","Подо́бно тому́/ как други́е варя́ги называ́ли себя́ све́я/ го́ты/ урма́не/ англя́не. [Алла Сурикова, Эдуард Акопов. Человек с бульвара Капуцинов, к/ф (1987)] [омонимия не снята]"
Промедле́ние в восста́нии сме́рти, подо́бно ,,1948-1949,"кино, нехудожественная","кино военное, кино историческое","Промедле́ние в восста́нии сме́рти подо́бно.   [Владимир Петров, Николай Вирта. Сталинградская битва, к/ф (1948-1949)] [омонимия не снята]"
"беззабо́тный и прока́зливый, бро́дит о́н,", подо́бно ,"все́м тала́нтливым мяте́жным ру́сским лю́дям, по ",1969,"кино, нехудожественная","кинодрама, кинокомедия","Ему́ два́дцать пя́ть ле́т, о́н по́лон здоро́вья, вну́треннего пы́ла и кипе́ния, беззабо́тный и прока́зливый, бро́дит о́н, подо́бно все́м тала́нтливым мяте́жным ру́сским лю́дям, по города́м, ре́кам и доро́гам свое́й вели́кой несура́зной ро́дины, всё ви́дит, всему́ у́чится и то́чно разы́скивает са́м себя́.   [Александр Митта, Валерий Фрид, Юлий Дунский. Гори, гори, моя звезда, к/ф (1969)] [омонимия не снята]"
ско́лько таки́х… люде́й / кото́рым ну́жно…, подо́бно ,нужна́ подо́бная…  ,1964,"кино, нехудожественная","кинодрама, стихотворная пьеса, экранизация","Ну́ / во́т / ско́лько таки́х… люде́й / кото́рым ну́жно… подо́бно… нужна́ подо́бная…   [Борис Пастернак, Григорий Козинцев, Уильям Шекспир. Гамлет, к/ф (1964)] [омонимия не снята]"
