Left context,Center,Right context,Created,Sphere,Type,Full context,Left_context_POS,Right_context_POS
"на друга, шириться и расти,", подобно ,"тому, как маленький снежный комочек, толкаемый ",1909-1915,художественная,повесть,"Просто-напросто все злоключения сами собой стали учащаться, наворачиваться друг на друга, шириться и расти, подобно тому, как маленький снежный комочек, толкаемый ногами ребят, сам собою, от прилипающего к нему талого снега, становится все больше, больше вырастает выше человеческого роста и, наконец, одним последним небольшим усилием свергается в овраг и скатывается вниз огромной лавиной. [А. И. Куприн. Яма (1909-1915)] [омонимия не снята]",VERB,ADJF
"дама летит вверх по уступам,", подобно ,"лани или серне быстроногой, и вас ",1911,художественная,роман,"И ― хорошо вам разговаривать, когда ваша легкокрылая дама летит вверх по уступам, подобно лани или серне быстроногой, и вас же еще влечет за собою на буксире. [А. В. Амфитеатров. Марья Лусьева за границей (1911)] [омонимия не снята]",NOUN,NOUN
"быть рожденным для грязи, быть,", подобно ,"слепорожденному физически, слепорожденным нравственно и, подобно ",1896-1898,художественная,"очерк, цикл","Тут либо с детства надо в грязь по уши окунуться и носом, и ртом ее каждый миг жизни своей обонять и глотать, пока привычка не станет второю натурой; или быть рожденным для грязи, быть, подобно слепорожденному физически, слепорожденным нравственно и, подобно слепорожденному же, отвечать, может быть, не столько за свои пороки, сколько за грехи отцов своих.   [А. В. Амфитеатров. Птички певчие (1896-1898)] [омонимия не снята]",INFN,ADJF
из него с ночевкой всегда, подобно ,"смерти, возвращение кажется бесконечно далеким! ",1973-1983,нехудожественная,"дневник, записные книжки","Я обожаю дом, и для меня уехать из него с ночевкой всегда подобно смерти, возвращение кажется бесконечно далеким!  [А. Д. Шмеман. Дневники (1973-1983)] [омонимия не снята]",ADVB,NOUN
и жившая вся покрытая волосами, подобно ,"зверю до смерти», « Венера в сидячем ",1918,художественная,повесть,"Его поразила « Юлия Пастрана, родившаяся в 1842 году и жившая вся покрытая волосами подобно зверю до смерти», « Венера в сидячем положении» и длинный ряд восковых портретов бледных знаменитостей, начиная Джеком Потрошителем, кончая Бисмарком и президентом Феликсом Фором. [А. В. Чаянов. История парикмахерской куклы, или Последняя любовь московского архитектора М (1918)] [омонимия не снята]",NOUN,NOUN
"отклонить, как некоторые ни старались.", Подобно ,"скале среди бурного моря, стоял Константин ",1959-1961,нехудожественная,мемуары,"отклонить, как некоторые ни старались. Подобно скале среди бурного моря, стоял Константин Эдуардович. [А. Л. Чижевский. Вся жизнь (1959-1961)] [омонимия не снята]",VERB,NOUN
"на которые глаза мои разбегались,", подобно ,как установленное зеркало против солнца посылает ,1841,нехудожественная,мемуары,"И как мне помнится, что это было в 1799 году, и именно 9 августа нашего стиля, что мне дали 1000 червонцев, на которые глаза мои разбегались, подобно как установленное зеркало против солнца посылает во все стороны так называемого « зайчика». [А. А. Башилов. Молодость А. А. Башилова (1841) // Заря, 1871] [омонимия не снята]",VERB,CONJ
"Крокодил несет яйца,", подобно ,курице.,1932,нехудожественная,очерк,"Крокодил несет яйца, подобно курице. [А. К. Виноградов. История молодого человека (Шатобриан и Бенжамен Констан) (1932)] [омонимия не снята]",NOUN,NOUN
"могла понять, почему она сразу,", подобно ,"своему брату, почувствовала к нему симпатию, ",1871,художественная,роман,"Молодую девушку даже заинтересовал этот беспечный инвалид, этот философствующий нищий, и она не могла понять, почему она сразу, подобно своему брату, почувствовала к нему симпатию, тогда как она вообще не любила нищих и считала последним делом протягивание руки. [А. К. Шеллер-Михайлов. Лес рубят - щепки летят (1871)] [омонимия не снята]",ADVB,ADJF
"пред кем не встает, ниже,", подобно ,"шаху, удостоивает кого либо приветственным жестом ",1816-1817,нехудожественная,"дневник, записные книжки","Будучи в некоторой степени родства с шахом по происхождению из того же рода Каджарских татар, и притом облеченный весьма значительною властию по управлению обширной области сопредельной с Российскими и Турецкими, он не знает меры в надменности своей, и ни пред кем не встает, ниже, подобно шаху, удостоивает кого либо приветственным жестом или наклонением головы. [А. Е. Соколов. Дневные записки о путешествии российско-императорского посольства в Персии в 1816 и 1817 годах, веденный советником этого посольства А. Е. Соколовым (1816-1817)] [омонимия не снята]",PREP,NOUN
"жалуетъ и награждаетъ, всѣхъ оживотворяетъ,", подобно ,"тому, какъ самое небо, не употребляетъ ",1762,нехудожественная,монография,"Нашъ великій Святѣйщій Ханъ благомудріе весьма обширно простираетъ, къ народу такое милосердіе являетъ, какъ къ груднымъ младенцамъ, подаетъ спокойную жизнь, не только людямъ; но и всякимъ животнымъ, нѣтъ у Его Величества разбору въ своихъ и чужестранныхъ, всѣхъ равно жалуетъ и награждаетъ, всѣхъ оживотворяетъ, подобно тому, какъ самое небо, не употребляетъ на людей жестокихъ и тяжкихъ пытокъ и мученій, нѣтъ склонности къ тиранству и [А. Л. Леонтьев [перевод отчета Ту Ли-чэня с маньчжурского]. Путешествие китайского посланника к калмыцкому Аюке-хану (1762)] [омонимия не снята]",NOUN,ADJF
, Подобно ,"тому как на фронте, попав во ",1943-1951,художественная,роман,"Подобно тому как на фронте, попав во вторые эшелоны армии, трудно судить о размерах и ожесточенности битвы на переднем крае, так и на переправе, находясь где-то в глубоком тылу ее, в последней очереди, нельзя судить об истинных размерах бедствия.   [А. А. Фадеев. Молодая гвардия (1943-1951)] [омонимия не снята]",,ADJF
после прокаливания он оставался магнитным, подобно ,его синтетическому аналогу.,1698-1721,нехудожественная,"дневник, записные книжки",Свойства маггемита оказались необычными: после прокаливания он оставался магнитным подобно его синтетическому аналогу. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)] [омонимия не снята],ADJF,NPRO
"Это потомки моряков- парусников, и,", подобно ,"англичанам и норвежцам, говорят они на ",1947-1953,нехудожественная,мемуары,"Это потомки моряков- парусников, и, подобно англичанам и норвежцам, говорят они на том языке, на котором их предки умудрялись перекликаться при сильном морском шторме с носа барки до рулевого на корме.   [А. А. Игнатьев. Пятьдесят лет в строю. Кн. 3 (1947-1953)] [омонимия не снята]",CONJ,NOUN
"Оно нависло над жизнью Павлова,", подобно ,"мощному горному потоку, готовому ежесекундно прорвать ",1954,нехудожественная,речь,"Оно нависло над жизнью Павлова, подобно мощному горному потоку, готовому ежесекундно прорвать сдерживающую его напористый бег слабую плотину и, стремительно покатившись, захлестнуть и смести все на своем пути.   [А. И. Юдин. Речь в защиту А. Г. Савельева (1954)] [омонимия не снята]",NOUN,ADJF
"великолепно разряженный, с раскрашенным лицом,", подобно ,индийским божествам.,1841,бытовая,письмо,"Главным лицом был древний индийский раджа, или царь, великолепно разряженный, с раскрашенным лицом, подобно индийским божествам. [А. Д. Салтыков. Письма из Индии (1841)] [омонимия не снята]",NOUN,ADJF
"угла, черневшей под небольшим навесом,", подобно ,старушке с зонтиком на глазах.,1855,художественная,повесть,"С первого взгляда даже легко было не заметить единственной двери у левого угла, черневшей под небольшим навесом, подобно старушке с зонтиком на глазах. [А. А. Фет. Дядюшка и двоюродный братец (1855)] [омонимия не снята]",NOUN,NOUN
обстоит дело и с пониманием., Подобно ,"товару, понимание обыденно и массовидно.",1983,нехудожественная,учебное пособие,"обстоит дело и с пониманием. Подобно товару, понимание обыденно и массовидно. [А. А. Ивин. По законам логики (1983)] [омонимия не снята]",NOUN,NOUN
Но, подобно ,тому как аскетическое настроение не ограничивалось ,1908,нехудожественная,статья,"Но подобно тому как аскетическое настроение не ограничивалось монастырской келией, а разливалось более или менее по всем слоям общества, так и новое настроение, которое постепенно вырабатывалось в городах, не оставалось исключительным достоянием горожан, а завоевывало себе все больше и больше приверженцев. [А. К. Дживелегов. Начало итальянского Возрождения (1908)] [омонимия не снята]",CONJ,ADJF
из пушек по линии казались, подобно ,"как будто батальоный огонь производила пехота, ",1831,нехудожественная,мемуары,"Открыли мы огонь из своей батареи по французам нас была на этом месте вся рота и 2 орудия батарейной роты полковника Глухова, пальба с обеих сторон производились ужасно, так что выстрелы из пушек по линии казались подобно, как будто батальоный огонь производила пехота, а за громом пушек, ружейных выстрелов совсем не было слышно. [А. К. Карпов. Записки (1831)] [омонимия не снята]",VERB,CONJ
"и поменяться ролями с противником,", подобно ,"тому, как это было в мае ",1921,нехудожественная,"очерк, цикл","И я, и генерал Романовский считали, что и в каменноугольном районе, и на Донском плацдарме мы могли бы удержать противника, что, невзирая на неравенство сил, взаимоотношение их ценности таково, что достаточно было одного сильного удара, одного крупного успеха, чтобы перевернуть вверх дном всю стратегическую ситуацию и поменяться ролями с противником, подобно тому, как это было в мае в каменноугольном бассейне…   [А. И. Деникин. Очерки русской смуты. Том V. Вооруженные силы Юга России (1921)] [омонимия не снята]",NOUN,ADJF
в которых азот будет фиксироваться, подобно ,бактериальному способу? ,1997,нехудожественная,мемуары,"Может быть, найдутся чисто химические системы, в которых азот будет фиксироваться подобно бактериальному способу?  [А. Е. Шилов. Н. Н. Семенов и современная химия (1997)] [омонимия не снята]",INFN,ADJF
"прорезать руки японским женщинам, чтобы,", подобно ,монголам XIII в.,2002,нехудожественная,статья,"Во время войны им внушали, что американские завоеватели « начнут прорезать руки японским женщинам, чтобы, подобно монголам XIII в. [А. Е. Раевский, О. Н. Железняк. Мисима Юкио: поиски себя в послевоенной Японии // «Проблемы Дальнего Востока», 2002.04.29] [омонимия не снята]",CONJ,NOUN
с 9 до 18 — смерти, подобно ,,2009,художественная,повесть,"Он говорил, что на зарплате и месяца не выживет, что для него рабочий день с 9 до 18 — смерти подобно. [А. В. Жвалевский, Е. Пастернак. Время всегда хорошее (2009)] [омонимия не снята]",NOUN,
"сотрудники писаря, не покинули меня,", подобно ,"офицерам, после Октябрьской революции не перешли ",1947-1953,нехудожественная,мемуары,"Задача моя облегчена, кроме того, тем, что мои скромные сотрудники писаря, не покинули меня, подобно офицерам, после Октябрьской революции не перешли в стан белогвардейцев, а с любовью и сознанием долга перед родиной помогали составить документальный « Отчет о деятельности русского военного агента во Франции 1914― 1918 годов».   [А. А. Игнатьев. Пятьдесят лет в строю. Кн. 4 (1947-1953)] [омонимия не снята]",NPRO,NOUN
"В том-то вся задача, чтоб,", подобно ,"какому-нибудь Гёте, стоять головою выше всех ",1840,художественная,повесть,"В том-то вся задача, чтоб, подобно какому-нибудь Гёте, стоять головою выше всех обстоятельств и их покорять, ― чтоб внутренний мир сделать независимым от наружного.   [А. И. Герцен. Записки одного молодого человека (1840)] [омонимия не снята]",CONJ,ADJF
Варя стояла, подобно ,изваянию.,1883,художественная,повесть,Варя стояла подобно изваянию. [А. И. Эртель. Волхонская барышня (1883)] [омонимия не снята],ADJS,NOUN
"камнями, и они будут действовать", подобно ,"граду, а дым от них будет ",1929-1934,нехудожественная,статья,"Я умею также отливать пушки, очень легкие и легко переносимые, заряжать их мелкими камнями, и они будут действовать подобно граду, а дым от них будет вносить великий ужас в ряды неприятеля, причинять ему огромный урон и расстройство. [А. К. Дживелегов. Леонардо да Винчи (1929-1934)] [омонимия не снята]",INFN,NOUN
"жилах, теперь лилась в них,", подобно ,густому вину Токая.,1834,художественная,"отрывки, роман","Сердце в ней трепетало, как голубица, утомленная полетом в небо; но оно отдыхало, будто в родимом гнезде, и кровь, которая за миг еще огнем прорывалась в жилах, теперь лилась в них, подобно густому вину Токая. [А. А. Бестужев-Марлинский. Вадимов (1834)] [омонимия не снята]",NPRO,ADJF
"бояться молнии, грома и ливня ―", подобно ,"капле морской, которая не боится ведь ",1958-1960,художественная,"рассказ, цикл","И мы… мы забыли бояться молнии, грома и ливня ― подобно капле морской, которая не боится ведь урагана. [А. И. Солженицын. Крохотки 1958-1960 (1958-1960)] [омонимия не снята]",NOUN,NOUN
"самовар или водяной бак, действующий", подобно ,самовару.,1940-1956,художественная,роман,"Да, решил вмонтировать в мои сани самовар или водяной бак, действующий подобно самовару. [А. А. Бек. Талант (Жизнь Бережкова) / Части 4-6 (1940-1956)] [омонимия не снята]",ADJF,NOUN
"оживилась, и голова редко работает,", подобно ,пустой мельнице в ветреную погоду.,1845,нехудожественная,"дневник, записные книжки","С началом дневника память моя будто оживилась, и голова редко работает, подобно пустой мельнице в ветреную погоду. [А. В. Дружинин. Дневник (1845)] [омонимия не снята]",VERB,ADJF
"исчезло с лица современного языка,", подобно ,тому как прошедшие на- х или- ,1878,нехудожественная,статья,"Если бы одночленное предложение вымерло, исчезло с лица современного языка, подобно тому как прошедшие на- х или- л есмь, то двучленное предложение было бы типом предложения современного языка. [А. А. Дмитриевский. Еще несколько слов о второстепенности подлежащего // «Филологические записки», вып. 3, 1878] [омонимия снята]",NOUN,ADJF
"и плод на одной ветке,", подобно ,бразильским апельсинам.,1836,художественная,повесть,"С каждым тонким, нежным волоском на верхней губе рождалось в сердце его новое желание ― темное, безотчетное, но тем не менее сладостное, носящее цвет и плод на одной ветке, подобно бразильским апельсинам. [А. А. Бестужев-Марлинский. Мулла-Нур (1836)] [омонимия не снята]",NOUN,ADJF
