Left context,Center,Right context,Created,Sphere,Type,Full context,Left_context_POS,Right_context_POS
"Длинная, зигзагообразная,", словно ,молния.  ,2003,художественная,статья,"Длинная, зигзагообразная, словно молния.   [Зана Плавинская. Отражение // Интернет-альманах «Лебедь», 2003.08.04] [омонимия не снята]",ADJF,NOUN
Они у Бориски и вправду, словно ,блестящие угли.,2003,художественная,статья,"Они у Бориски и вправду словно блестящие угли. [Зана Плавинская. Отражение // Интернет-альманах «Лебедь», 2003.08.04] [омонимия не снята]",ADVB,ADJF
"него с забора и улыбался,", словно ,звал поиграть.  ,2003,художественная,статья,"Щенок смотрел на него с забора и улыбался, словно звал поиграть.   [Зана Плавинская. Отражение // Интернет-альманах «Лебедь», 2003.08.04] [омонимия не снята]",VERB,VERB
"Рука сама потянулась,", словно ,хотела погладить Щенка.,2003,художественная,статья,"Рука сама потянулась, словно хотела погладить Щенка. [Зана Плавинская. Отражение // Интернет-альманах «Лебедь», 2003.08.04] [омонимия не снята]",VERB,VERB
"Я, ― сказал Вовка так спокойно,", словно ,речь шла о какой-нибудь обыкновенной обезьяне ,2003,художественная,статья,"Я, ― сказал Вовка так спокойно, словно речь шла о какой-нибудь обыкновенной обезьяне или, скажем, крокодиле.   [Зана Плавинская. Отражение // Интернет-альманах «Лебедь», 2003.08.04] [омонимия не снята]",ADVB,NOUN
"вещмешок, она несла его шинель.", Словно ,это сестра его провожала.,2001,художественная,анонс,"вещмешок, она несла его шинель. Словно это сестра его провожала. [Пригласительный билет // «Аргументы и факты», 2001.02.14] [омонимия не снята]",NOUN,PRCL
"этих пор вовсе не было,", словно ,он под столом сидел.,2001,художественная,анонс,"Сами откуда-то явились бумаги на столах, за пишущей машинкой в углу возник писарь в очках, которого до этих пор вовсе не было, словно он под столом сидел. [Пригласительный билет // «Аргументы и факты», 2001.02.14] [омонимия не снята]",VERB,NPRO
"И вдруг,", словно ,"местность повернулась перед глазами, все понятно ",2001,художественная,анонс,"И вдруг, словно местность повернулась перед глазами, все понятно стало. [Пригласительный билет // «Аргументы и факты», 2001.02.14] [омонимия не снята]",ADVB,NOUN
"было давно, иногда приблизится ясно,", словно ,"это вчерашнее, а самое долгое, самое ",2001,художественная,анонс,"По своим законам текло время на войне: что было давно, иногда приблизится ясно, словно это вчерашнее, а самое долгое, самое нескончаемое, то, что происходит сейчас. [Пригласительный билет // «Аргументы и факты», 2001.02.14] [омонимия не снята]",ADVB,PRCL
"кидать эту тесненькую их землянку,", словно ,с ней что-то от души отрывал.,2001,художественная,анонс,"Сорвали плащ-палатку, заменявшую вход, наспех переворошили сено на нарах, оглянулся Третьяков напоследок, и так вдруг жаль стало кидать эту тесненькую их землянку, словно с ней что-то от души отрывал. [Пригласительный билет // «Аргументы и факты», 2001.02.14] [омонимия не снята]",NOUN,PREP
"Их опускали на сумасшедшие деньги,", словно ,сопливых щенков.  ,2002,художественная,рецензия,"Их опускали на сумасшедшие деньги, словно сопливых щенков.   [Кубический корень искусства // «Культура», 2002.03.25] [омонимия не снята]",NOUN,ADJF
"баксы швырял в ночных клубах,", словно ,"бисер перед свиньями, и вообще всем ",2002,художественная,рецензия,"Тот парниша тоже непозволительно расслабился: отбабахал мини- теремок, баксы швырял в ночных клубах, словно бисер перед свиньями, и вообще всем своим видом и понтами выказывал прямо-таки неприличное богатство. [Кубический корень искусства // «Культура», 2002.03.25] [омонимия не снята]",NOUN,NOUN
"на свободу с новой внешностью,", словно ,дядя Фантомас.,2002,художественная,рецензия,"А оттуда ― на свободу с новой внешностью, словно дядя Фантомас. [Кубический корень искусства // «Культура», 2002.03.25] [омонимия не снята]",NOUN,NOUN
"Лобанов,", словно ,"подкинутый пружиной, выскочил из кресла и ",2002,нехудожественная,рецензия,"Лобанов, словно подкинутый пружиной, выскочил из кресла и бросился к выходу. [Кубический корень искусства // «Культура», 2002.03.25] [омонимия не снята]",NOUN,PRTF
"пожирая каждое слово,", словно ,от него зависит какая-либо судьба».,2003,художественная,статья,"пожирая каждое слово, словно от него зависит какая-либо судьба». [Бандиты приятные во всех отношениях // «Криминальная хроника», 2003.06.10] [омонимия не снята]",NOUN,PREP
это читатель замечает всякую мелочь., Словно ,рассматривает каждую строчку в лупу.,2003,художественная,статья,"это читатель замечает всякую мелочь. Словно рассматривает каждую строчку в лупу. [Бандиты приятные во всех отношениях // «Криминальная хроника», 2003.06.10] [омонимия не снята]",NOUN,VERB
"и, что называется, « компоновал кадры»,", словно ,открывал петербургские мизансцены в самой нашей ,2003,нехудожественная,статья,"Он ходил по городу и, что называется, « компоновал кадры», словно открывал петербургские мизансцены в самой нашей реальности. [Забыть о дефолте // «Криминальная хроника», 2003.06.24] [омонимия не снята]",NOUN,VERB
"на роль Годо, Автора, который,", словно ,"дергая за невидимые веревочки, окликая, подвывая ",2003,нехудожественная,статья,"Режиссер некоторым образом претендует на роль Годо, Автора, который, словно дергая за невидимые веревочки, окликая, подвывая и подпевая своим героям, одобряя или порицая их, все время присутствует за спиной у зрителя, расположившись в конце зала за пультом, рядом со звукорежиссером. [Забыть о дефолте // «Криминальная хроника», 2003.06.24] [омонимия не снята]",ADJF,GRND
"станет « пробиваться» к своим героям,", словно ,"пытаясь заставить их встрепенуться, пробудиться, услышать ",2003,художественная,статья,"У губ ― микрофон, и Автор, модулируя своим голосом, на языке трудноразличимых звуков, междометий или каких-то леденящих душу завываний станет « пробиваться» к своим героям, словно пытаясь заставить их встрепенуться, пробудиться, услышать самих себя, голос собственных заблудших и заснувших душ. [Забыть о дефолте // «Криминальная хроника», 2003.06.24] [омонимия не снята]",NOUN,GRND
"бы исподволь, она существует подспудно,", словно ,"постоянно звучащая в ушах мелодия, словно ",2003,нехудожественная,статья,"Душевная драма Пилата в спектакле Люпы раскрывается как бы исподволь, она существует подспудно, словно постоянно звучащая в ушах мелодия, словно химический элемент, разлитый в теле. [Забыть о дефолте // «Криминальная хроника», 2003.06.24] [омонимия не снята]",ADVB,ADVB
"Иешуа на волю людей, и", словно ,сигнализирует нам о предательстве самого себя.,2003,художественная,статья,"Но Пилат сдается жизни, оставляя Иешуа на волю людей, и словно сигнализирует нам о предательстве самого себя. [Забыть о дефолте // «Криминальная хроника», 2003.06.24] [омонимия не снята]",CONJ,VERB
"памяти вечернюю песенку наготове, так,", словно ,поет это каждый вечер».  ,2002,художественная,интервью,"Ведь у нее нет своих детей ― вот странно, что она хранит в памяти вечернюю песенку наготове, так, словно поет это каждый вечер».   [Александр Клейн. Пауло Коэльо: Выбор всегда за мной // «Пятое измерение», 2002] [омонимия не снята]",CONJ,VERB
А она, словно ,ничего не боится.,2002,художественная,интервью,"А она словно ничего не боится. [Александр Клейн. Пауло Коэльо: Выбор всегда за мной // «Пятое измерение», 2002] [омонимия не снята]",NPRO,NPRO
"Лазить ночами в окно,", словно ,"уличная бродяжка,  ― это возмутительная шалость, которая ",2002,художественная,интервью,"Лазить ночами в окно, словно уличная бродяжка,  ― это возмутительная шалость, которая не укладывается в голове!    [Александр Клейн. Пауло Коэльо: Выбор всегда за мной // «Пятое измерение», 2002] [омонимия не снята]",NOUN,ADJF
перед ней качнулся и стал, словно ,плотнее.,2002,художественная,интервью,"Но тут туман перед ней качнулся и стал словно плотнее. [Александр Клейн. Пауло Коэльо: Выбор всегда за мной // «Пятое измерение», 2002] [омонимия не снята]",VERB,COMP
что от радости у него, словно ,выросли крылья.,2002,художественная,интервью,"Филипп чувствовал, что от радости у него словно выросли крылья. [Александр Клейн. Пауло Коэльо: Выбор всегда за мной // «Пятое измерение», 2002] [омонимия не снята]",NPRO,VERB
Герасименко свалился на наши головы, словно ,с небес и перехватил нас у ,2002,художественная,репортаж,"Валентин Герасименко свалился на наши головы словно с небес и перехватил нас у диспетчерской с огромным букетом цветов. [Игорь Шухов. Кто же такой на самом деле Саи Баба или как материализовать пепел // «Пятое измерение», 2002] [омонимия не снята]",NOUN,PREP
"Нет цветов,", словно ,горы вокруг 	 Облысели от лет и ,2002,художественная,репортаж,"Нет цветов, словно горы вокруг 	 Облысели от лет и от горя,  	 И плывет этим каменным морем 	 В бронированной лодке друг.  [Игорь Шухов. Кто же такой на самом деле Саи Баба или как материализовать пепел // «Пятое измерение», 2002] [омонимия не снята]",NOUN,NOUN
"встречается снег ― 	 Ослепительные поляны 	 Чистоты,", словно ,"жизнь без обмана,  	 Для которой рожден ",2002,нехудожественная,репортаж,"Очень редко встречается снег ― 	 Ослепительные поляны 	 Чистоты, словно жизнь без обмана,  	 Для которой рожден человек.  [Игорь Шухов. Кто же такой на самом деле Саи Баба или как материализовать пепел // «Пятое измерение», 2002] [омонимия не снята]",NOUN,NOUN
"переживала за Орфея и Эвридику,", словно ,"за себя» ( Анна Седова, ученица 9 « ",2004,нехудожественная,статья,"Я переживала за Орфея и Эвридику, словно за себя» ( Анна Седова, ученица 9 « В» класса средней школы № 4).   [Александр Избицер. Музыка вечности // Интернет-альманах «Лебедь», 2004.01.04] [омонимия не снята]",NOUN,PREP
"это было похоже на то,", словно ,кто-то « открыл тысячи и тысячи банок ,2003,нехудожественная,статья,"По свидетельствам немногих из выживших в боях после Дьен- Бьен- Фу русских легионеров, это было похоже на то, словно кто-то « открыл тысячи и тысячи банок с тушенкой и разбросал ее по всему полю». [Владимир Абаринов. Чисто английское самоубийство // «Совершенно секретно», 2003.04.08] [омонимия не снята]",CONJ,NPRO
чисто английское в этой смерти -, словно ,эпизод из « Собаки Баскервилей».,2003,нехудожественная,статья,"Было что-то чисто английское в этой смерти - словно эпизод из « Собаки Баскервилей». [Евгений Толстых. Казино «Алроса» // «Совершенно секретно», 2003.07.04] [омонимия не снята]",NOUN,NOUN
"генеральный директор, меняя главных редакторов,", словно ,"перчатки, приводят издание к развалу.",2003,нехудожественная,статья,"Как уже немало случаев, когда издатель, генеральный директор, меняя главных редакторов, словно перчатки, приводят издание к развалу. [Борис Корнаш. Терять рыбаку больше нечего // «Рыбак Приморья», 2003.01.23] [омонимия не снята]",NOUN,NOUN
"черта вы меня все расспрашиваете,", словно ,начальник отдела кадров? ,2003,нехудожественная,статья,"А какого черта вы меня все расспрашиваете, словно начальник отдела кадров?  [О двух событиях прошедшего концертного сезона // «Российская музыкальная газета», 2003.06.11] [омонимия не снята]",VERB,NOUN
"Человек в драп- велюровом пальто,", словно ,"волшебник в детском спектакле, отдернул шторку, ",2003,нехудожественная,статья,"Человек в драп- велюровом пальто, словно волшебник в детском спектакле, отдернул шторку, за которой открылась сверкающая водная гладь. [О двух событиях прошедшего концертного сезона // «Российская музыкальная газета», 2003.06.11] [омонимия не снята]",NOUN,NOUN
"костлявое лицо, скошенное кислой гримасой,", словно ,во рту он держал ломтик лимона.,2003,нехудожественная,статья,"У него было костлявое лицо, скошенное кислой гримасой, словно во рту он держал ломтик лимона. [О двух событиях прошедшего концертного сезона // «Российская музыкальная газета», 2003.06.11] [омонимия не снята]",NOUN,PREP
Он, словно ,"проглотил наконец свой ломтик лимона, ― лицо ",2003,нехудожественная,статья,"Он словно проглотил наконец свой ломтик лимона, ― лицо пересекли большие спокойные морщины, и только в глазах Алексей увидел презрение. [О двух событиях прошедшего концертного сезона // «Российская музыкальная газета», 2003.06.11] [омонимия не снята]",NPRO,VERB
"что-то свое, прыгали вдоль берега,", словно ,"боялись рвануться в сплошную мглу, к ",2003,нехудожественная,статья,"Пятна плясали каждое что-то свое, прыгали вдоль берега, словно боялись рвануться в сплошную мглу, к темному массиву Петропавловки. [О двух событиях прошедшего концертного сезона // «Российская музыкальная газета», 2003.06.11] [омонимия не снята]",NOUN,VERB
, словно ,по-новому взглянув на окружающую корабль с ,2003,нехудожественная,статья,"словно по-новому взглянув на окружающую корабль с трёх сторон равнину, все вдруг видят, что зверей десятки, нет, сотни, они лежат, и сидят, и бродят вокруг, почти не реагируя на людей. [Вселенная звука // «Российская музыкальная газета», 2003.06.11] [омонимия не снята]",,ADVB
Верхняя палуба директорского катера, словно ,"висит в воздухе, лишь беззвучно поворачивается ",2003,художественная,статья,"Верхняя палуба директорского катера словно висит в воздухе, лишь беззвучно поворачивается под ним разноцветная планета.   [Вселенная звука // «Российская музыкальная газета», 2003.06.11] [омонимия не снята]",NOUN,VERB
"струёй хлещет кровь, а потом", словно ,"передумывает, ложится на бок и тянет ",2003,нехудожественная,статья,"тупое во взгляде, а Маратище любит шутки, любит играть с именами, а почему Шлимана так зовут, не знает даже Ким, а раз его здесь нет, то он не в числе претендентов, и другая мумбака пытается когтями забраться под собственные доспехи, откуда струёй хлещет кровь, а потом словно передумывает, ложится на бок и тянет шею, чтобы видеть странных, одетых в тряпки двуногих, у неё [Вселенная звука // «Российская музыкальная газета», 2003.06.11] [омонимия не снята]",ADVB,VERB
"Так,", словно ,свет и время переходят в плоть ,2003,нехудожественная,заметка,"Так, словно свет и время переходят в плоть собираемых в августе плодов.   [Пасхальный концерт Марии Гамбарян // «Российская музыкальная газета», 2003.06.11] [омонимия не снята]",CONJ,NOUN
Время, словно ,"засыпает, закрывает глаза до Рождества.  ",2003,нехудожественная,заметка,"Время словно засыпает, закрывает глаза до Рождества.   [Пасхальный концерт Марии Гамбарян // «Российская музыкальная газета», 2003.06.11] [омонимия не снята]",NOUN,VERB
"Календарь,", словно ,"шар, закатился в лунку, погрузился в ",2003,нехудожественная,заметка,"Календарь, словно шар, закатился в лунку, погрузился в темные воды вечности. [Пасхальный концерт Марии Гамбарян // «Российская музыкальная газета», 2003.06.11] [омонимия не снята]",NOUN,NOUN
"Рождество, с приездом Пущина он", словно ,"ожил, на Сретение двинул ( по линии) ",2003,нехудожественная,заметка,"На Рождество, с приездом Пущина он словно ожил, на Сретение двинул ( по линии) свое перо; на Пасху, расстелив чистый белый лист ( скатерть света), начал « Годунова».   [Пасхальный концерт Марии Гамбарян // «Российская музыкальная газета», 2003.06.11] [омонимия не снята]",NPRO,VERB
"звук в ней меняются, она", словно ,"пустеет, наполняется тишиной.  ",2003,нехудожественная,заметка,"Все это позади; на Покров Москва пересекает некую важную границу: отныне цвет и звук в ней меняются, она словно пустеет, наполняется тишиной.   [Пасхальный концерт Марии Гамбарян // «Российская музыкальная газета», 2003.06.11] [омонимия не снята]",NPRO,VERB
Это, словно ,бы эпиграф к рефлексии над темой.  ,2003,нехудожественная,отзыв,"Это словно бы эпиграф к рефлексии над темой.   [Игра в жизнь и игра в игру // «Российская музыкальная газета», 2003.03.12] [омонимия не снята]",PRCL,PRCL
, Словно ,"в них живут птицы, а не ",2003,нехудожественная,статья,"Словно в них живут птицы, а не люди. [Михаил Хазин. Жизнь и стихи Игоря Слободкина // «Вестник США», 2003.08.06] [омонимия не снята]",,PREP
"и душа вырастает до облаков,", словно ,дитя спросонок потянулось в кроватке ― и ,2003,нехудожественная,статья,"Как вдруг порой бывает ― ах ― и душа вырастает до облаков, словно дитя спросонок потянулось в кроватке ― и мать вдруг видит ― вырос из детской кроватки!  [Михаил Хазин. Жизнь и стихи Игоря Слободкина // «Вестник США», 2003.08.06] [омонимия не снята]",NOUN,NOUN
"берет ее руки в свои,", словно ,желая согреть их.,2003,художественная,статья,"Подходит к Аллочке, садится на корточки перед нею, заглядывает ей в глаза, берет ее руки в свои, словно желая согреть их. [Михаил Хазин. Жизнь и стихи Игоря Слободкина // «Вестник США», 2003.08.06] [омонимия не снята]",ADJF,GRND
"не просто писала книжки, а", словно ,бы сотворяла свои стихи и рассказы ,2004,художественная,статья,"Она, как волшебница, не просто писала книжки, а словно бы сотворяла свои стихи и рассказы из воздуха, солнечного света, летней зелени, невесомых зимних снежинок и мерцания ночных звёзд. [Сюжеты около // «Театральная жизнь», 2004.06.28] [омонимия не снята]",CONJ,PRCL
Хозяин смотрит на эту сцену, словно ,загипнотизированный.,2003,нехудожественная,статья,"Гость так входит в роль, так натурально изображает угасание жизни, что Хозяин смотрит на эту сцену словно загипнотизированный. [Анатолий Васильев. Как зеркало самого себя // «Театральная жизнь», 2003.07.28] [омонимия не снята]",NOUN,PRTF
, Словно ,"ты еще не родился, а только ",2003,нехудожественная,статья,"Словно ты еще не родился, а только стоишь у входной двери, за которой ― мир. [Анатолий Васильев. Как зеркало самого себя // «Театральная жизнь», 2003.07.28] [омонимия не снята]",,NPRO
У них, словно ,"бы полностью отсутствовало честолюбие, их преданность ",2003,нехудожественная,рецензия,"У них словно бы полностью отсутствовало честолюбие, их преданность интересам дела была фанатичной. [Всепонимающая улыбка Вольтера // «Театральная жизнь», 2003.08.25] [омонимия не снята]",NPRO,PRCL
"Бывает, что аплодируют вяло,", словно ,"раздумывая: « А достаточно ли хорошо то, ",2003,нехудожественная,рецензия,"Бывает, что аплодируют вяло, словно раздумывая: « А достаточно ли хорошо то, чему аплодируем?»    [Всепонимающая улыбка Вольтера // «Театральная жизнь», 2003.08.25] [омонимия не снята]",ADVB,GRND
своего выдающегося фильма способен был, словно ,маг- волшебник ткать даже… из туманов.  ,2003,нехудожественная,рецензия,"Эйзенштейн настолько глубоко проникся революционным материалом, что образную структуру своего выдающегося фильма способен был словно маг- волшебник ткать даже… из туманов.   [Всепонимающая улыбка Вольтера // «Театральная жизнь», 2003.08.25] [омонимия не снята]",VERB,NOUN
"винтовок покрывались липким холодным потом,", словно ,в лихорадке перед рассветом металась в ,2003,нехудожественная,рецензия,"От этих туманов обвисали тяжелые паруса и съеживались узлы канатов, а железные дула винтовок покрывались липким холодным потом, словно в лихорадке перед рассветом металась в зловещем ожидании вся громадная, запытанная Россия.   [Всепонимающая улыбка Вольтера // «Театральная жизнь», 2003.08.25] [омонимия не снята]",ADVB,PREP
"Строгость обстановки, жесткие сроки", словно ,бы придали строгости и стройности фильму.  ,2003,нехудожественная,рецензия,"Строгость обстановки, жесткие сроки словно бы придали строгости и стройности фильму.   [Всепонимающая улыбка Вольтера // «Театральная жизнь», 2003.08.25] [омонимия не снята]",NOUN,PRCL
