Left context;Center;Right context;Created;Sphere;Type;Full context;Left_context_POS;Right_context_POS
перенести чертеж на бумагу ― отпечатать,;как;фотоснимок с негатива.;1940;художественная;художественный;Оставалось перенести чертеж на бумагу ― отпечатать, как фотоснимок с негатива. [А. А. Бек. Талант (Жизнь Бережкова) / Части 4-6 (1940-1956)] [омонимия не снята];VERB;NOUN
левитан в приемной вели себя,;как;школьники.;1910;нехудожественная;публицистический;Покуда фотограф возился, приготовляя свои аппараты, Чехов и Левитан в приемной вели себя, как школьники. [M. К. Первухин. Из воспоминаний о Чехове (1915)] [омонимия не снята];NPRO;NOUN
величества интереса, вреде и убытке,;как;скоро о том уведаю, не токмо ;1720;нехудожественная;деловой;"узаконяемые, по крайнему разумению, силе и возможности, предостерегать и оборонять, и в том живота своего, в потребном случае не щадит, и притом, по крайней мере старатися, споспешествовать все, что его царскаго величества верной службе и пользе, во всяких случаях касатися может; о ущербе же его величества интереса, вреде и убытке, как скоро о том уведаю, не токмо благовременно объявлять, но и всякими мерами [[Петр I]. Генеральный регламент (1720)] [омонимия не снята]";NOUN;ADVB
не оставили мы;как;ихъ, такъ и тѣ, кои предками ;1780;нехудожественная;деловой;Не оставили Мы какъ ихъ, такъ и тѣ, кои предками Нашими сооружены были, снабдить надлежащимъ управленіемъ, освободить рукодѣлія, промыслы и торговлю отъ принужденій и притѣсненій, и преподать имъ различные полезные способы и ободренія. [[Екатерина II]. Грамота на права и выгоды городамъ Россійской Имперіи (1785)] [омонимия не снята];NPRO;TRSH
орфографию и законы пунктуации чувствовал,;как;люди чувствуют музыку: « точка- тире ― такого ;1960;нехудожественная;публицистический;Лозинский до тонкости знал орфографию и законы пунктуации чувствовал, как люди чувствуют музыку: « Точка- тире ― такого знака нет по-русски, а у Вас есть», говаривал он, когда держал корректуру моих стихов.   [А. А. Ахматова. Лозинский (1966)] [омонимия не снята];VERB;NOUN
я совершенно не знаю,;как;я написала, уж очень длинное изложение.;1900;нехудожественная;публицистический;Я совершенно не знаю, как я написала, уж очень длинное изложение. [А. А. Аллендорф. Дневник (1900)] [омонимия не снята];VERB;NPRO
не есть течение в искусстве,;как;думают многие.;1920;нехудожественная;деловой;Конструктивизм не есть течение в искусстве, как думают многие. [O. Д. Чичагова. Конструктивизм (1923)] [омонимия не снята];NOUN;VERB
дискуссии о том,;как;учить детей литературе, идут не первый ;2010;нехудожественная;публицистический;Дискуссии о том, как учить детей литературе, идут не первый десяток лет. [А. А. Архангельский, А. А. Данилова. В чем проблемы преподавания литературы в школе?-Александр Архангельский // 2016] [омонимия не снята];ADJ;VERB
что за замечательный писатель толстой,;как;он знает людей! ;1900;нехудожественная;публицистический;Что за замечательный писатель Толстой, как он знает людей!  [А. А. Аллендорф. Дневник (1908)] [омонимия не снята];NOUN;NPRO
узнал, что ничего нет хуже,;как;беспрестанно жить в страхе, и завидовал ;1800;художественная;художественный;"Я узнал, что ничего нет хуже, как беспрестанно жить в страхе, и завидовал собакам, которые меня стращали; однажды, вышедши из терпения, бросился прямо в глаза моим неприятелям, дал себя растерзать на мелкие части, и таким образом оставил в летописях пример зайца ― не труса.   [[Н. М. Карамзин], перевод. Превращения, или история мошки // «Вестник Европы», 1802] [омонимия не снята]";ADJ;ADVB
исходном положении погрузить в воду;как;можно дальше от борта.;1970;нехудожественная;публицистический;Боковое притяжение будет более эффективным, если лопасть в исходном положении погрузить в воду как можно дальше от борта. [B. Повицкий, А. Шалимов. Слаломная техника в путешествиях на надувных лодках (1975)] [омонимия не снята];NOUN;TRSH
на защите;как;лев себя вел, оппоненты на глазах ;1970;художественная;художественный;На защите как лев себя вел, оппоненты на глазах поседели.   [O. М. Куваев. Эй, Бако! (1975)] [омонимия не снята];NOUN;ADJ
очевидно также, что до того,;как;не будет проработан курс электричества, работа ;1920;нехудожественная;публицистический;Очевидно также, что до того, как не будет проработан курс электричества, работа по радио невозможна. [E. Горячкин. Радио в школе // «Радио Всем», 1928] [омонимия не снята];ADJ;AUX
