Left context;Center;Right context;Created;Type;Full context;Left_context_POS;Right_context_POS
Е́сть тако́е поня́тие; как ;"по́иски внеземны́х цивилиза́ций""― э́то вро́де бы ";2010;научный;"Е́сть тако́е поня́тие как ""по́иски внеземны́х цивилиза́ций""― э́то вро́де бы все́м бо́лее-мене́е знако́мо/ когда́ мы́ пыта́емся обнару́жить то́/ что изуча́ют други́е.   [Александр Зайцев. Послание внеземным цивилизациям. Проект Academia (ГТРК Культура) (2010)] [омонимия не снята]";NOUN;NOUN
Деви́ца Алекса́ндра зде́сь живёт /; как ;не́кая росси́йская Рози́на…  ;1962;художественный;Деви́ца Алекса́ндра зде́сь живёт / Как не́кая росси́йская Рози́на…   [Александр Гладков, Эльдар Рязанов. Гусарская баллада, к/ф (1962)] [омонимия не снята];VERB;NOUN
ле́зет пе́ред дра́кой в ще́ли /; как ;тарака́ны / а бьёт беспоща́дно.;1956;художественный;Но для э́то нужна́ братва́ отва́жная / наро́д кре́пкой поро́ды / кото́рый не ле́зет пе́ред дра́кой в ще́ли / как тарака́ны / а бьёт беспоща́дно. [Александр Алов, Владимир Наумов. Павел Корчагин, к/ф (1956)] [омонимия не снята];VERB;ADJS
Вы́ бы́ли для меня́ /; как ;и для всего́ Пари́жа / заба́вным причу́дливым ;1976;художественный;Вы́ бы́ли для меня́ / ка́к и для всего́ Пари́жа / заба́вным причу́дливым зве́рем. [Александр Митта, Валерий Фрид, Юлий Дунский. Сказ про то, как царь Петр арапа женил, к/ф (1976)] [омонимия не снята];UNKN;CONJ
 Ка́к зва́ть тебя́ / де́вица?; как ;велича́ть тебя́ / кра́сная?   ;1944;художественный;Ка́к зва́ть тебя́ / де́вица? Ка́к велича́ть тебя́ / кра́сная?    [Александр Роу, Владимир Швейцер. Кащей Бессмертный, к/ф (1944)] [омонимия не снята];NOUN;INFN
Стать таки́м же ма́стером /; как ;те бы́ли тогда́.;2001;научный;Стать таки́м же ма́стером / как те бы́ли тогда́. [Александр Клейн. Лекция А. Клейна «Интернет как элемент Пути», Москва (2001) // Интернет] [омонимия снята];NOUN;ADJF
во время / по-моему / во время; как ;раз.;1968-1974;разговорный;До или во время / по-моему / во время как раз. [А.В. Азарх-Грановская. Беседа В.Д. Дувакина с А.В. Азарх-Грановской (1968-1974) // «Собрание фонодокументов имени В.Д. Дувакина» Отдела устной истории Научной библиотеки МГУ им. М.В. Ломоносова, 1999] [омонимия не снята];NOUN;NOUN
А по́мнишь /; как ;мы́ ту́т через него́ пры́гали? ;1984;художественный;А по́мнишь / как мы́ ту́т через него́ пры́гали?  [Александр Миндадзе, Вадим Абдрашитов. Парад планет, к/ф (1984)] [омонимия не снята];VERB;UNKN
О́ Бо́же!; как ;вы́ всегда́ ти́хо вхо́дите / Миле́ди!   ;1978;художественный;О́ Бо́же! Ка́к вы́ всегда́ ти́хо вхо́дите / Миле́ди!    [Александр Дюма, Георгий Юнгвальд-Хилькевич, Марк Розовский. Д»Артаньян и три мушкетера, к/ф (1978)] [омонимия не снята];NOUN;UNKN
А; как ;она́ из себя́?   ;1943;художественный;А ка́к она́ из себя́?    [Александр Иванов, Александр Штейн, Иоган Зельцер. Подводная лодка Т-9, к/ф (1943)] [омонимия не снята];CONJ;UNKN
